# Name; SpTy; SpTyNum; Teff; Mstar_b15+mesa; Mstar_ll; Mstar_ul; Mstar_b98+mesa; Mstar_b98_ll; Mstar_b98_ul; LogLstar_b15+mesa; LogLstar_ll; LogLstar_ul; LogLstar_b98+mesa; LogLstar_b98_ll; LogLstar_b98_ul
GG Tau Aab;K7;47.0;4020.370093296445;0.6845331650716551;0.6749813781783758;0.7057241257428508;1.1813762459562396;1.1713897169172365;1.203456863579334;-0.1957044327282377;-0.2055332170275423;-0.17434058227390498;0.11026487053095757;0.10307295866781706;0.12537529302627734
BP Tau;K7;47.0;4020.370093296445;0.6845331650716551;0.6749813781783758;0.7057241257428508;1.1813762459562396;1.1713897169172365;1.203456863579334;-0.1957044327282377;-0.2055332170275423;-0.17434058227390498;0.11026487053095757;0.10307295866781706;0.12537529302627734
V807 Tau A;K7;47.0;4020.370093296445;0.6845331650716551;0.6749813781783758;0.7057241257428508;1.1813762459562396;1.1713897169172365;1.203456863579334;-0.1957044327282377;-0.2055332170275423;-0.17434058227390498;0.11026487053095757;0.10307295866781706;0.12537529302627734
GI Tau;K7;47.0;4020.370093296445;0.6845331650716551;0.6749813781783758;0.7057241257428508;1.1813762459562396;1.1713897169172365;1.203456863579334;-0.1957044327282377;-0.2055332170275423;-0.17434058227390498;0.11026487053095757;0.10307295866781706;0.12537529302627734
GK Tau;K7;47.0;4020.370093296445;0.6845331650716551;0.6749813781783758;0.7057241257428508;1.1813762459562396;1.1713897169172365;1.203456863579334;-0.1957044327282377;-0.2055332170275423;-0.17434058227390498;0.11026487053095757;0.10307295866781706;0.12537529302627734
DL Tau;K7;47.0;4020.370093296445;0.6845331650716551;0.6749813781783758;0.7057241257428508;1.1813762459562396;1.1713897169172365;1.203456863579334;-0.1957044327282377;-0.2055332170275423;-0.17434058227390498;0.11026487053095757;0.10307295866781706;0.12537529302627734
CI Tau;K7;47.0;4020.370093296445;0.6845331650716551;0.6749813781783758;0.7057241257428508;1.1813762459562396;1.1713897169172365;1.203456863579334;-0.1957044327282377;-0.2055332170275423;-0.17434058227390498;0.11026487053095757;0.10307295866781706;0.12537529302627734
AA Tau;K7;47.0;4020.370093296445;0.6845331650716551;0.6749813781783758;0.7057241257428508;1.1813762459562396;1.1713897169172365;1.203456863579334;-0.1957044327282377;-0.2055332170275423;-0.17434058227390498;0.11026487053095757;0.10307295866781706;0.12537529302627734
V955 Tau A;K7;47.0;4020.370093296445;0.6845331650716551;0.6749813781783758;0.7057241257428508;1.1813762459562396;1.1713897169172365;1.203456863579334;-0.1957044327282377;-0.2055332170275423;-0.17434058227390498;0.11026487053095757;0.10307295866781706;0.12537529302627734
V836 Tau;K7;47.0;4020.370093296445;0.6845331650716551;0.6749813781783758;0.7057241257428508;1.1813762459562396;1.1713897169172365;1.203456863579334;-0.1957044327282377;-0.2055332170275423;-0.17434058227390498;0.11026487053095757;0.10307295866781706;0.12537529302627734
DK Tau A;K8;48.0;4004.260737194546;0.6712994276708467;0.6669439393242416;0.6749813781783758;1.1675145585723559;1.1629042534113994;1.1713897169172365;-0.20935590978572205;-0.21390264361317085;-0.2055332170275423;0.10021880476698816;0.0967764348464307;0.10307295866781706
CIDA 9 A;K8;48.0;4004.260737194546;0.6712994276708467;0.6669439393242416;0.6749813781783758;1.1675145585723559;1.1629042534113994;1.1713897169172365;-0.20935590978572205;-0.21390264361317085;-0.2055332170275423;0.10021880476698816;0.0967764348464307;0.10307295866781706
DQ Tau AB;M0;50.0;3898.2856475746157;0.5891377023908904;0.5302142896958486;0.6311896222507183;1.067460691054817;0.9623320581831989;1.1231033379478494;-0.2999848764319676;-0.372079044479558;-0.25227864993002025;0.021602749661290215;-0.05478086509891881;0.06555972676172545
FM Tau;M0;50.0;3898.2856475746157;0.5891377023908904;0.5302142896958486;0.6311896222507183;1.067460691054817;0.9623320581831989;1.1231033379478494;-0.2999848764319676;-0.372079044479558;-0.25227864993002025;0.021602749661290215;-0.05478086509891881;0.06555972676172545
V410 X-ray 2;M0;50.0;3898.2856475746157;0.5891377023908904;0.5302142896958486;0.6311896222507183;1.067460691054817;0.9623320581831989;1.1231033379478494;-0.2999848764319676;-0.372079044479558;-0.25227864993002025;0.021602749661290215;-0.05478086509891881;0.06555972676172545
FS Tau A;M0;50.0;3898.2856475746157;0.5891377023908904;0.5302142896958486;0.6311896222507183;1.067460691054817;0.9623320581831989;1.1231033379478494;-0.2999848764319676;-0.372079044479558;-0.25227864993002025;0.021602749661290215;-0.05478086509891881;0.06555972676172545
IP Tau;M0;50.0;3898.2856475746157;0.5891377023908904;0.5302142896958486;0.6311896222507183;1.067460691054817;0.9623320581831989;1.1231033379478494;-0.2999848764319676;-0.372079044479558;-0.25227864993002025;0.021602749661290215;-0.05478086509891881;0.06555972676172545
