,name,ra,dec,pmra,pmdec,epmra,epmdec,rv,erv,plx,eplx
258,Mayrit 803197,84.62032929267,-2.8133046483599995,,,,,,,,
259,Haro 5-9,84.62150370305001,-2.2710444370400005,0.345,0.769,0.047,0.042,,,2.412,0.0355
260,Haro 5-11,84.63093333981,-2.60941530711,,,,,,,,
261,[W96] rJ053831-0235,84.63162785212,-2.58749580812,,,,,,,,
262,V* TX Ori,84.6403707853,-2.7372706619700002,-1.29,-2.701,0.461,0.39,,,1.7486,0.2591
263,[W96] rJ053833-0236,84.64192171144,-2.61043801395,-0.327,1.114,0.37,0.331,,,2.5997,0.215
264,[BNM2013] 93.03 29,84.64418964719,-2.6857882746499997,1.135,-0.6990000000000001,0.172,0.138,,,2.4897,0.0951
265,V* TY Ori,84.64949062964001,-2.7308984938300003,1.4469999999999998,-0.5760000000000001,0.079,0.069,,,2.431,0.041
266,[W96] 4771-1147,84.66038077498,-2.5819710652000003,0.85,-0.22,0.063,0.061,,,2.4196,0.0372
267,2MASS J05383902-0245321,84.66263690648,-2.75895162787,1.155,-0.45399999999999996,0.149,0.12300000000000001,,,2.3346,0.0822
268,2MASS J05383976-0232203,84.66569584524,-2.5390001533,,,,,,,,
269,Haro 5-13,84.66780998524,-2.50515781068,0.897,-0.5539999999999999,0.055999999999999994,0.051,,,2.6265,0.0353
270,2MASS J05384053-0233275,84.66891102567,-2.55766846949,0.7440000000000001,0.0,0.165,0.14800000000000002,,,2.6874,0.1036
271,[BNM2013] 92.01 24,84.67333104034999,-2.5080375152200003,1.183,-0.691,0.128,0.11599999999999999,,,2.5751,0.0794
272,[W96] 4771-1051,84.68431685463,-2.6721631531599996,1.517,-0.9890000000000001,0.039,0.038,,,2.4952,0.0238
273,2MASS J05384448-0240376,84.68538235292,-2.67715072367,1.179,-0.39,0.68,0.679,,,3.1761,0.397
274,V* V595 Ori A or,84.68913633876,-2.69982590907,2.332,0.47600000000000003,0.377,0.326,,,4.7093,0.2424
275,2MASS J05384755-0227120,84.69811271748,-2.45334465109,1.339,-0.585,0.16,0.14300000000000002,,,2.6269,0.1012
276,[W96] 4771-899,84.70016042021,-2.4539368361,,,,,,,,
277,[BZR99] S Ori 15,84.70041812941,-2.48158095798,1.281,-0.715,0.309,0.275,,,2.7477,0.2095
278,2MASS J05384818-0244007,84.70079898640999,-2.73357629847,1.067,-1.199,0.348,0.287,,,2.3393,0.181
279,V* V2737 Ori,84.70535143159,-2.3993410127200003,1.206,-0.23800000000000002,0.322,0.282,,,2.4287,0.3065
280,[BNM2013] 92.01 11,84.70992902921999,-2.4465810567900004,-2.8110000000000004,4.958,0.738,0.643,,,2.9825,0.479
281,2MASS J05385060-0242429,84.71087501513,-2.7119372843900003,1.131,-0.6990000000000001,0.247,0.207,,,2.5072,0.1412
282,V* RU Ori,84.71671177771,-2.77881575777,1.63,-1.011,0.063,0.052000000000000005,,,2.4709,0.0296
283,2MASS J05385831-0216101,84.7430013902,-2.26947968211,0.665,0.45799999999999996,0.067,0.057,,,2.5082,0.0408
284,Haro 5-18,84.74678749803,-2.56428503651,1.7819999999999998,-0.565,0.111,0.099,,,2.525,0.0767
285,Haro 5-16,84.75572004578,-2.3076270774200003,1.7519999999999998,-0.115,0.055,0.053,,,2.3785,0.0362
286,2MASS J05390193-0235029,84.75808708865,-2.58414134593,1.9180000000000001,-0.348,0.33,0.289,,,2.9774,0.2068
287,2MASS J05390297-0241272,84.76241792436,-2.6908822162299995,1.367,-0.67,0.127,0.11199999999999999,,,2.4378,0.0856
288,ESO-HA 1693,84.76491556968,-2.7741858225700002,2.187,-1.3119999999999998,0.188,0.161,,,2.6975,0.0904
289,2MASS J05390387-0220081,84.76613906287,-2.33558804873,1.8630000000000002,0.006999999999999999,0.19399999999999998,0.184,,,2.8797,0.1471
290,Haro 5-19,84.78169415376,-2.5442242211200004,1.9240000000000002,-1.508,0.051,0.048,,,2.4943,0.0341
291,2MASS J05390853-0251465,84.78554205754001,-2.86294475754,3.1519999999999997,-1.632,0.255,0.213,,,2.326,0.1256
292,2MASS J05390878-0231115,84.78659306337,-2.51988507575,1.095,-0.09300000000000001,0.16899999999999998,0.14800000000000002,,,2.9821,0.133
293,[KJN2005] 33,84.7918482187,-2.46984515713,28.943,10.012,0.282,0.267,,,4.1785,0.1981
294,Haro 5-20,84.79799921213001,-2.5184958236900004,1.8730000000000002,-0.33899999999999997,0.059000000000000004,0.057,,,2.4349,0.0404
295,[BZR99] S Ori 30,84.80453151803,-2.63082765181,2.292,-0.537,0.855,0.735,,,2.9523,0.4972
296,[BNM2013] 90.02 146,84.81596401133001,-2.61410218761,1.805,-0.405,0.159,0.139,,,2.6226,0.1057
297,2MASS J05391807-0229284,84.82531439533001,-2.49126134398,2.072,-1.369,0.069,0.069,24.6,5.31,2.6776,0.0451
298,Haro 5-21,84.82849115635,-2.5147867242900004,1.751,-0.5429999999999999,0.11699999999999999,0.075,,,2.486,0.0571
299,2MASS J16115979-3823383,242.99909643725,-38.39409075186,-9.115,-22.656,0.20800000000000002,0.114,,,6.0777,0.1269
300,2MASS J16090141-3925119,242.25584044999002,-39.4200811813,-9.845,-23.796,0.149,0.085,,,6.0861,0.0831
301,2MASS J15450887-3417333,236.28689693385,-34.29272194387,-15.585,-21.808000000000003,0.39,0.278,,,6.4533,0.2012
302,SSTc2dJ154518.5-342125,236.32707108547,-34.356917098850005,-15.144,-21.77,0.34299999999999997,0.22399999999999998,,,6.5891,0.1831
