,Source,Reference,Adopted Mass,Object Radius,Old Accr Rate,Ha Accr Rate,PaB Accr Rate,BrG Accr Rate,Avg Accr Rate
266,ISO-Oph 117,Manara 2015,0.33,1.41,2.29e-10,1.7473128502845112e-09,2.829884688851084e-10,,1.0151506595848097e-09
267,ISO-Oph 117,Natta 2006,0.2137962,1.94,3.02e-09,,4.5825105978899374e-09,,4.5825105978899374e-09
268,ISO-Oph 118,Natta 2006,,2.34,,,,,
269,ISO-Oph 120,Natta 2006,0.18620870000000003,1.81,2.57e-09,,2.538023674007334e-09,,2.538023674007334e-09
270,NAME WL 20E,Natta 2006,0.2951209,2.18,7.08e-10,,9.498344282250918e-10,,9.498344282250918e-10
271,WL 20,Natta 2006,0.6309573,3.01,1.66e-09,,9.28784305651407e-10,,9.28784305651407e-10
272,ISO-Oph 123,Manara 2015,0.62,0.56,2.75e-10,3.477500628891946e-10,6.01108231793448e-10,5.375794171032457e-10,4.954792372619627e-10
273,ISO-Oph 123,Natta 2006,0.08317639999999998,1.12,1.29e-08,,1.4304862508157161e-08,,1.4304862508157161e-08
274,ISO-Oph 124,Natta 2006,,2.51,,,,,
275,ISO-Oph 128,Natta 2006,0.45708820000000006,2.65,7.939999999999999e-10,,9.460092143375225e-10,,9.460092143375225e-10
276,ISO-Oph 129,Natta 2006,,2.94,,,,,
277,ISO-Oph 132,Natta 2006,0.6456542,2.88,3.8e-09,,2.787856518502079e-09,,2.787856518502079e-09
278,ISO-Oph 135,Natta 2006,,,,,,,
279,ISO-Oph 138,Natta 2006,0.047607,0.54,4.17e-11,,8.183753837307629e-11,,8.183753837307629e-11
280,ISO-Oph 139,Natta 2006,0.15135610000000002,1.73,5.37e-08,,,,
281,ISO-Oph 140,Natta 2006,0.5128614,2.78,1.91e-08,,1.0480063228254305e-08,,1.0480063228254305e-08
282,ISO-Oph 142,Natta 2006,0.3715352,2.45,7.939999999999999e-10,,2.430312105127988e-09,,2.430312105127988e-09
