Simbad-Resolvable Name,Source,Alternative Names,Star Forming Region,COORDS,Disk Type,Reference,Epoch,Effective Temperature K,Temp err,Sp Type,Sp Type Err,Method,Wavelength Range,Instrument,Tracer,Accretion Diagnostic,Line Flux erg/s/cm^2,Object Luminosity L_solar,Object Luminosity Error,Object Radius from L and T,R_err from L and T,Object Radius R_solar,R_err,Accretion Rate M_solar yr-1,Log Accretion Rate,Object Mass Range M_solar,Object Mass M_Solar,Object Mass Err,log object mass,Accretion Luminosity (CGS),Log Accretion Luminosity (solar),Age range Myr,System Age Myr,Companion?,A_V,A_V err,A_V source,Notes/Questions,Notes/Questions2,Notes/Questions3,
2MASS J04141188+2811535,2MASS J04141188+2811535,,Taurus,63.54950971 28.19816947 ,,Herczeg 2008,"November 23, 2006",2935,,M6.5,0.50,Low resolution spectra,3200-9000 A,Keck I/LRIS,Excess,Excess Balmer,,,,,,0.46,,9.00E-10,-9.05,,0.065,0.03,,,-2.494850022,,3.16227766,,1,,Herczeg+2008,,,,
2MASS J04390396+2544264,2MASS J04390396+2544264,,Taurus,69.76650163 25.74064917,,Herczeg 2008,"November 23, 2006",2838,,M7.25,0.50,Low resolution spectra,3200-9000 A,Keck I/LRIS,Excess,Excess Balmer,,,,,,0.51,,6.90E-12,-11.16,,0.05,0.02,,,-4.769551079,,3.16227766,,0.8,,Herczeg+2008,,,,
2MASS J04414825+2534304,2MASS J04414825+2534304,,Taurus,70.45105121 25.57515806,,Herczeg 2008,"November 23, 2006",2752,,M7.75,0.50,Low resolution spectra,3200-9000 A,Keck I/LRIS,Excess,Excess Balmer,,,,,,0.25,,1.90E-11,-10.72,,0.035,0.017,,,-4.173925197,,10,,1,,Herczeg+2008,,,,
2MASS J04442713+2512164,2MASS J04442713+2512164,,Taurus,71.11309237 25.20456639,,Herczeg 2008,"November 23, 2006",2838,,M7.25,0.50,Low resolution spectra,3200-9000 A,Keck I/LRIS,Excess,Excess Balmer,,,,,,0.45,,9.20E-12,-11.04,,0.05,0.024,,,-4.585026652,,3.981071706,,,,,,,,
2MASS J12073346-3932539,2MASS J12073346-3932539,"2MASS J12073347-3932540, 2MASS 1207-3932 (Mohanty 2005)",Taurus,181.88944842 -39.54833778,,Herczeg 2008,"February 7, 2007",2550,,M8,0.50,Low resolution spectra,3200-9000 A,Keck I/LRIS,Excess,Excess Balmer,,,,,,0.24,,2.30E-12,-11.64,,0.024,0.01,,,-5.214670165,,10,,0,,Herczeg+2009,,,,
2MASS J12073346-3932539,2MASS J12073346-3932539,"2MASS J12073347-3932540, 2MASS 1207-3932 (Mohanty 2005)",Taurus,181.88944842 -39.54833778,,Herczeg 2008,"November 23, 2006",2550,,M8,0.50,Low resolution spectra,3200-9000 A,Keck I/LRIS,Excess,Excess Balmer,,,,,,0.24,,1.70E-12,-11.77,,0.024,0.01,,,-5.356547324,,10,,0,,Herczeg+2009,,,,
2MASS J12073346-3932539,2MASS J12073346-3932539,"2MASS J12073347-3932540, 2MASS 1207-3932 (Mohanty 2005)",TW HyA,181.8875 -39.5483,II,Herczeg 2009,"May 28, 2008",2632,,M8.25,,Low resolution spectra,3200-9000 A,Keck I/LRIS,Excess,Excess Balmer,,,,,,0.21,,1.26E-12,-11.9,,0.035,,,,-5.3,,8,,0,,Herczeg+2008,,,,
DENIS J160603.9-205644,DENIS J160603.9-205644,DENIS-P J160603.9-205644 (original); USco DENIS 160603 (Mohanty 2005)),Upper Scorpio,241.51632714 -20.94567913,II,Herczeg 2009,"May 28, 2008",2838,,M7.25,,Low resolution spectra,3200-9000 A,Keck I/LRIS,Excess,Excess Balmer,,,,,,0.41,,2.51E-12,-11.6,,0.05,,,,-5.1,,11,,0,,Herczeg+2009,,,,
Oph 11A,Oph J162225-240515A,"Oph 11A, OPH J1622-2405A",Upper Scorpio,245.6042 -24.0872,II,Herczeg 2009,"May 28, 2008",2838,,M7.25,,Low resolution spectra,3200-9000 A,Keck I/LRIS,Excess,Excess Balmer,,,,,,0.25,,5.01E-14,-13.3,,0.054,,,,-6.6,,11,,0,,Herczeg+2009,upper limit,,,
Oph 11B,OphJ162225-240515B,"Oph 11B, OPH J1622-2405B",Upper Scorpio,245.6042 -24.0878,II,Herczeg 2009,"May 28, 2008",2478,,M8.75,,Low resolution spectra,3200-9000 A,Keck I/LRIS,Excess,Excess Balmer,,,,,,0.23,,2.51E-13,-12.6,,0.021,,,,-6.2,,11,,0,,Herczeg+2009,,,,
