Simbad-Resolvable Name,Source,Alternative Names,Star Forming Region,COORDS,Disk Type,Reference,Epoch,Effective Temperature K,Temp err,Sp Type,Sp Type Err,Method,Wavelength Range,Instrument,Tracer,Accretion Diagnostic,Line Flux erg/s/cm^2,Object Luminosity L_solar,Object Luminosity Error,Object Radius from L and T,R_err from L and T,Object Radius R_solar,R_err,Accretion Rate M_solar yr-1,Log Accretion Rate,Object Mass Range M_solar,Object Mass M_Solar,Object Mass Err,log object mass,Accretion Luminosity (CGS),Log Accretion Luminosity (solar),Age range Myr,System Age Myr,Companion?,A_V,A_V err,A_V source,Notes/Questions,Notes/Questions2,Notes/Questions3,
[NC98] Cha HA 10,[NC98] Cha HA 10,Cha Ha 10,Chamaeleon I,167.1 -77.6583,II,Muzerolle 2005,"December 30, 2003",2962,,M6.25,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.36,,,-12,,0.07,,,,,,2,,0.1,,Natta+ 2004,upper limit,,,
[NC98] Cha HA 11,[NC98] Cha HA 11,Cha Ha 11,Chamaeleon I,167.1208 -77.6556,II,Muzerolle 2005,"December 30, 2003",2838,,M7.25,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.28,,,-11,,0.055,,,,,,2,,0,,Natta+ 2004,,,,
[NC98] Cha HA 12,[NC98] Cha HA 12,Cha Ha 12,Chamaeleon I,166.6583 -77.7192,II,Muzerolle 2005,"December 30, 2003",2935,,M6.5,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.65,,,-12,,0.075,,,,,,2,,0.6,,"Luhman+2007 , converted from A_j",upper limit,,,
[NC98] Cha HA 7,[NC98] Cha HA 7,Cha Ha 7,Chamaeleon I,166.9083 -77.5919    ,II,Muzerolle 2005,"December 30, 2003",2752,,M7.75,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.48,,,-12,,0.035,,,,,,2,,0.3,,Natta+ 2004,upper limit,,,
CHSM 17173,CHSM 17173,,Chamaeleon I,167.59271262 -76.42051134,III,Muzerolle 2005,"December 30, 2003",2710,,M8,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.48,,,-12,,0.03,,,,,,2,,0,,"Luhman+2007 , converted from A_j",upper limit,disk classification from Luhman et al. 2008,,
CHSM 7869,CHSM 7869,,Chamaeleon I,166.63649529 -76.42251777,II,Muzerolle 2005,"December 30, 2003",2990,,M6,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.39,,,-10,,0.07,,,,,,2,,1.6,,"Luhman+2007 , converted from A_j",,disk classification from Luhman et al. 2008,,
ISO-Oph 138,ISO-Oph 138,ISO-Oph 138,p Oph,246.859264 -24.323055,II,Muzerolle 2005,"December 30, 2003",2935,,M6.5,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.35,,,-12,,0.065,,,,,,1,,10.9,,"Natta+2006, converted from A_j",upper limit,,,
2MASS J04190126+2802487,2MASS J04190126+2802487,KPNO Tau 12,Taurus,64.7542 28.0469,II,Muzerolle 2005,"December 30, 2003",2400,,M9,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.17,,,-11.4,,0.02,,,,,,1,,0.02,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04185115+2814332,2MASS J04185115+2814332,KPNO Tau 2,Taurus,64.7125 28.2425,III,Muzerolle 2005,"December 30, 2003",2795,,M7.5,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.32,,,-12,,0.045,,,,,,1,,0.46,0.85,Zhang+2018,upper limit,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04272799+2612052,2MASS J04272799+2612052,KPNO Tau 4,Taurus,66.8667 26.2014       ,III,Muzerolle 2005,"December 30, 2003",2300,,M9.5,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.3,,,-12,,0.011,,,,,,1,,2.16,0.85,Zhang+2018,upper limit,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04294568+2630468,2MASS J04294568+2630468,KPNO Tau 5,Taurus,67.4417 26.5131,III,Muzerolle 2005,"December 30, 2003",2795,,M7.5,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.59,,,-12,,0.04,,,,,,1,,0.13,0.85,Zhang+2018,upper limit,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04300724+2608207,2MASS J04300724+2608207,KPNO Tau 6,Taurus,67.5292 26.1392,II,Muzerolle 2005,"December 30, 2003",2555,,M8.5,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.23,,,-11.4,,0.025,,,,,,1,,0.68,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04305718+2556394,2MASS J04305718+2556394,KPNO Tau 7,Taurus,67.7375 25.9444,II,Muzerolle 2005,"December 30, 2003",2632,,M8.25,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.28,,,-11.4,,0.03,,,,,,1,,0.93,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010,,
[NC98] Cha HA 1,[NC98] Cha HA 1,Cha Ha 1,Chamaeleon I,166.8208 -77.5983,II,Natta 2004,March to June 2003,2770,150,M7.5,0.50,HIgh resolution spectra,optical,UVES/VLT,Line Width,Ha 10% width,,0.011,0.0105,0.46,,,,1.00E-12,-12,,0.038172,,,,,,2,,0.2,,Natta+ 2004,upper limit,,,.2 dex uncertainty in log L
[NC98] Cha HA 1,[NC98] Cha HA 1,Cha Ha 1,Chamaeleon I,166.8208 -77.5983,II,Natta 2004,March to June 2003,2770,150,M7.5,0.50,HIgh resolution spectra,optical,UVES/VLT,Line Strength,PaB luminosity,,0.011,0.0105,0.46,,,,3.98E-12,-11.4,,0.038172,,,,,,2,,0.2,,Natta+ 2004,,,,.2 dex uncertainty in log L
[NC98] Cha HA 2,[NC98] Cha HA 2,Cha Ha 2,Chamaeleon I,166.9292 -77.5664,II,Natta 2004,March to June 2003,2910,150,M6.5,0.50,HIgh resolution spectra,optical,UVES/VLT,Line Width,Ha 10% width,,0.034,0.032,0.73,,,,1.00E-10,-10,,0.066801,,,,,,2,,0.8,,Natta+ 2004,,,bad mass,.2 dex uncertainty in log L
[NC98] Cha HA 2,[NC98] Cha HA 2,Cha Ha 2,Chamaeleon I,166.9292 -77.5664,II,Natta 2004,March to June 2003,2910,150,M6.5,0.50,HIgh resolution spectra,optical,UVES/VLT,Line Strength,PaB luminosity,,0.034,0.032,0.73,,,,1.58E-11,-10.8,,0.066801,,,,,,2,,0.8,,Natta+ 2004,upper limit,,bad mass,.2 dex uncertainty in log L
[NC98] Cha HA 3,[NC98] Cha HA 3,Cha Ha 3,Chamaeleon I,166.9708 -77.6156,II,Natta 2004,March to June 2003,2840,150,M7,0.50,HIgh resolution spectra,optical,UVES/VLT,Line Width,Ha 10% width,,0.035,0.033,0.77,,,,1.00E-12,-12,,0.057258,,,,,,2,,0.3,,Natta+ 2004,upper limit,,,.2 dex uncertainty in log L
[NC98] Cha HA 3,[NC98] Cha HA 3,Cha Ha 3,Chamaeleon I,166.9708 -77.6156,II,Natta 2004,March to June 2003,2840,150,M7,0.50,HIgh resolution spectra,optical,UVES/VLT,Line Strength,PaB luminosity,,0.035,0.033,0.77,,,,7.94E-11,-10.1,,0.057258,,,,,,2,,0.3,,Natta+ 2004,upper limit,,,.2 dex uncertainty in log L
[NC98] Cha HA 6,[NC98] Cha HA 6,Cha Ha 6,Chamaeleon I,167.1667 -77.5811,II,Natta 2004,March to June 2003,2840,150,M7,0.50,HIgh resolution spectra,optical,UVES/VLT,Line Strength,PaB luminosity,,0.027,0.026,0.68,,,,1.58E-11,-10.8,,0.047715,,,,,,2,,0.26,,Natta+ 2004,,,bad mass,.2 dex uncertainty in log L
[NC98] Cha HA 6,[NC98] Cha HA 6,Cha Ha 6,Chamaeleon I,167.1667 -77.5811,II,Natta 2004,March to June 2003,2840,150,M7,0.50,HIgh resolution spectra,optical,UVES/VLT,Line Width,Ha 10% width,,0.027,0.026,0.68,,,,3.16E-11,-10.5,,0.047715,,,,,,2,,0.26,,Natta+ 2004,,,bad mass,.2 dex uncertainty in log L
ISO-Oph 023,ISO-Oph 023,,p Oph,246.578419 -24.436256,II,Natta 2004,March to June 2003,2700,100,M6,,HIgh resolution spectra,optical,UVES/VLT,Line Strength,PaB luminosity,,0.040,,0.91,,,,7.94E-11,-10.1,,0.057258,,,,,.1-1,1,,9,,"Gatti+2018, converted from A_j",,,,
2MASS J16262152-2426009,2MASS J16262152-2426009,"ISO-Oph 030, GY 5",p Oph,246.58974557 -24.43361126,II,Natta 2004,March to June 2003,2600,100,M7.5,,HIgh resolution spectra,optical,UVES/VLT,Line Strength,PaB luminosity,,0.071,,1.31,,,,1.58E-10,-9.8,,0.038172,,,,,.1-1,1,,3,,"Gatti+2018, converted from A_j",,,,
2MASS J16262152-2426009,2MASS J16262152-2426009,"ISO-Oph 030, GY 5",p Oph,246.58974557 -24.43361126,II,Natta 2004,March to June 2003,2700,100,M6,,HIgh resolution spectra,optical,UVES/VLT,Line Width,Ha 10% width,,0.071,,1.22,,,,1.58E-11,-10.8,,0.057258,,,,,.1-1,1,,3,,"Gatti+2018, converted from A_j",,,,
ISO-Oph 032,ISO-Oph 032,,p Oph,246.59128482 -24.74436689,II,Natta 2004,March to June 2003,2600,100,M7.5,,HIgh resolution spectra,optical,UVES/VLT,Line Width,Ha 10% width,,0.060,,1.21,,,,3.16E-11,-10.5,,0.038172,,,,,.1-1,1,,2,,Natta2004,,,,
2MASS J16270659-2441488,2MASS J16270659-2441488,ISO-Oph 102,p Oph,246.77746863 -24.69691214,II,Natta 2004,March to June 2003,2700,100,M6,,HIgh resolution spectra,optical,UVES/VLT,Line Width,Ha 10% width,,0.079,,1.29,,,,1.00E-09,-9,,0.057258,,,,,.1-1,1,,3,,"Gatti+2018, converted from A_j",upper limit,,,
2MASS J16270659-2441488,2MASS J16270659-2441488,ISO-Oph 102,p Oph,246.77746863 -24.69691214,II,Natta 2004,March to June 2003,2700,100,M6,,R=33000 spectra,optical,UVES/VLT,Line Strength,PaB luminosity,,0.079,,1.29,,,,5.01E-11,-10.3,,0.057258,,,,,.1-1,1,,3,,"Gatti+2018, converted from A_j",,,,
ISO-Oph 023,ISO-Oph 023,,p Oph,246.578419 -24.436256,II,Natta 2006,2004 Spring,2630.26799,,M7,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.020,,0.69,,,,,-9.93,,0.03981071706,,-1.4,,-3.61,,1,,8.5,,"Gatti+2018, converted from A_j",,Added SIMBAD spectral type (Manara 2015),,
ISO-Oph 032,ISO-Oph 032,,p Oph,246.59128482 -24.74436689,II,Natta 2006,2004 Spring,2691.5348,,M6.5,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.037,,0.89,,,,,-10.54,,0.05754399373,,-1.24,,-4.17,,1,,2,,Natta2004,,Added SIMBAD spectral type (Manara 2015),,
ISO-Oph 033,ISO-Oph 033,GY 11,p Oph,246.592788 -24.401962,II,Natta 2006,2004 Spring,2344.22882,,M8,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.001,,0.20,,,,,-11.81,,0.006918309709,,-2.16,,-5.73,,1,,7.8,,"Gatti+2018, converted from A_j",upper limit,Added SIMBAD spectral type (Manara 2015),,
2MASS J16264848-2428389,2MASS J16264848-2428389,ISO-Oph 070+,p Oph,246.925 -24.7792,III,Natta 2006,2004 Spring,2290.86765,,,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,0.00,,,,,-9.12,,0.005888436554,,-2.23,,-3.06,,1,companion,3.5,,"Natta+2006, converted from A_j",upper limit,,,
2MASS J16265477-2427022,2MASS J16265477-2427022,ISO-Oph 079,p Oph,246.728212 -24.450624,II,Natta 2006,2004 Spring,2754.2287,,,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.058,,1.06,,,,,,,0.07413102413,,-1.13,,,,1,,21,,"Natta+2006, converted from A_j",,,,
ISO-Oph 082,ISO-Oph 082,,p Oph,246.737166 -24.476965,III,Natta 2006,2004 Spring,2570.39578,,M2.5,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,0.00,,,,,-10.12,,0.02818382931,,-1.55,,-3.85,,1,,13.47,,"Natta+2006, converted from A_j",upper limit,Added SIMBAD spectral type (Manara 2015),,
ISO-Oph 094,ISO-Oph 094,,p Oph,246.764962 -24.334846,II,Natta 2006,2004 Spring,2570.39578,,M1.5,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.013,,0.57,,,,,-9.55,,0.02951209227,,-1.53,,-3.27,,1,,13.12,,"Natta+2006, converted from A_j",,Added SIMBAD spectral type (Manara 2015),,
ISO-Oph 158,ISO-Oph 158,,p Oph,246.90219296 -24.47592586,III,Natta 2006,2004 Spring,2754.2287,,M2,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,0.00,,,,,-9.86,,0.06918309709,,-1.16,,-3.46,,1,,0,,"Natta+2006, converted from A_j",upper limit,Added SIMBAD spectral type (Manara 2015),,
ISO-Oph 160,ISO-Oph 160,,p Oph,246.90594683 -24.29859876,II,Natta 2006,2004 Spring,2691.5348,,M7.5,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.027,,0.76,,,,,-9.44,,0.04677351413,,-1.33,,-3.09,,1,,6.73,,"Gatti+2018, converted from A_j",,Added SIMBAD spectral type (Manara 2015),,
ISO-Oph 165,ISO-Oph 165,,p Oph,246.912269 -24.672409,I,Natta 2006,2004 Spring,2754.2287,,M2.5,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.045,,0.93,,,,,-8.58,,0.06309573445,,-1.2,,-2.2,,1,,14.8,,"Natta+2006, converted from A_j",,Added SIMBAD spectral type (Manara 2015),,
2MASS J16274161-2446447,2MASS J16274161-2446447,ISO-Oph 170,p Oph,246.923376 -24.779095,II,Natta 2006,2004 Spring,2290.86765,,,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.001,,0.19,,,,,-11.07,,0.005888436554,,-2.23,,-5.01,,1,,3.54,,"Natta+2006, converted from A_j",upper limit,,,
2MASS J16274578-2444538,2MASS J16274578-2444538,ISO-Oph 175,p Oph,246.940778 -24.748295,II,Natta 2006,2004 Spring,2630.26799,,,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.015,,0.59,,,,,-8.79,,0.03311311215,,-1.48,,-2.49,,1,,14.18,,"Natta+2006, converted from A_j",,,,
,SR12 c,,SR12,246.8333 -24.5831,U,Santamaria-Miranda 2017/2019,U,2600,,L0,,R 3890 VISspectroscopy R 5400 UVBspectroscopy,UBV-NIR,X-Shooter,Line Strength,Ca II,,,,0.00,,0.19,,4.57E-10,-9.3400838,0.13 +/- 0.07,0.013,,,,,2,2,companion,1.77,0.71,"Kuzuhara+2011, converted from A_J",Corrections published in 2019 Erratum paper,,,
,SR12 c,,SR12,246.8333 -24.5831,U,Santamaria-Miranda 2017/2019,U,2600,,L0,,R 3890 VISspectroscopy R 5400 UVBspectroscopy,UBV-NIR,X-Shooter,Line Width,Ha 10% width,1.34E-15,,,0.00,,0.19,,4.90E-11,-10.31,0.13 +/- 0.07,0.013,,,,-3.649751982,2,2,companion,1.77,0.71,"Kuzuhara+2011, converted from A_J",Corrections published in 2019 Erratum paper,,,
,SR12 c,,SR12,246.8333 -24.5831,U,Santamaria-Miranda 2017/2019,U,2600,,L0,,R 3890 VISspectroscopy R 5400 UVBspectroscopy,UBV-NIR,X-Shooter,Line Strength,Ha Line Strength,1.34E-15,,,0.00,,0.19,,1.16E-12,-11.93554201,0.13 +/- 0.07,0.013,,,,-3.649751982,2,2,companion,1.77,0.71,"Kuzuhara+2011, converted from A_J",Corrections published in 2019 Erratum paper,,,
,SR12 c,,SR12,246.8333 -24.5831,U,Santamaria-Miranda 2017/2019,U,2600,,L0,,R 3890 VISspectroscopy R 5400 UVBspectroscopy,UBV-NIR,X-Shooter,Line Strength,Hb Emission,2.19E-16,,,0.00,,0.19,,5.99E-13,-12.22257318,0.13 +/- 0.07,0.013,,,,-3.653647026,2,2,companion,1.77,0.71,"Kuzuhara+2011, converted from A_J",Corrections published in 2019 Erratum paper,,,
,SR12 c,,SR12,246.8333 -24.5831,U,Santamaria-Miranda 2017/2019,U,2600,,L0,,R 3890 VISspectroscopy R 5400 UVBspectroscopy,UBV-NIR,X-Shooter,Line Strength,HII Emission,8.93E-17,,,0.00,,0.19,,1.79E-12,-11.74714697,0.13 +/- 0.07,0.013,,,,-4.203425667,2,2,companion,1.77,0.71,"Kuzuhara+2011, converted from A_J",Corrections published in 2019 Erratum paper,,,
,SR12 c,,SR12,246.8333 -24.5831,U,Santamaria-Miranda 2017/2019,U,2600,,L0,,R 3890 VISspectroscopy R 5400 UVBspectroscopy,UBV-NIR,X-Shooter,Line Strength,Hy Emission,6.57E-16,,,0.00,,0.19,,1.18E-12,-11.92811799,0.13 +/- 0.07,0.013,,,,-3.823908741,2,2,companion,1.77,0.71,"Kuzuhara+2011, converted from A_J",Corrections published in 2019 Erratum paper,,,
,SR12 c,,SR12,246.8333 -24.5831,U,Santamaria-Miranda 2017/2019,U,2600,,L0,,R 3890 VISspectroscopy R 5400 UVBspectroscopy,UBV-NIR,X-Shooter,Line Strength,OI Emission,1.62E-16,,,0.00,,0.19,,6.28E-12,-11.20204036,0.13 +/- 0.07,0.013,,,,-3.215382707,2,2,companion,1.77,0.71,"Kuzuhara+2011, converted from A_J",Corrections published in 2019 Erratum paper,,,
,SR12 c,,SR12,246.8333 -24.5831,U,Santamaria-Miranda 2017/2019,U,2600,,L0,,R 3890 VISspectroscopy R 5400 UVBspectroscopy,UBV-NIR,X-Shooter,Line Strength,PaB luminosity,,,,0.00,,0.19,,4.02E-13,-12.39577395,0.13 +/- 0.07,0.013,,,,,2,2,companion,1.77,0.71,"Kuzuhara+2011, converted from A_J",Corrections published in 2019 Erratum paper,,,
CD-35 10525B,GQ Lup b,,Lupus,237.300375 -35.651083,U,Zhou 2014,12 February 2012,2050,350,M9,,optical broadband photometry,optical,HST/WFC3,Excess,Excess Balmer,1.30E-16,,,0.00,,0.653185,0.020098,5.01E-10,-9.3,,0.0229032,,,,-2.9,3-10,5,companion,1.600E+000,,,T R M from prEVious literature,Added SIMBAD spectral type (Neuhaeuser 2005),,
CD-35 10525B,GQ Lup b,,Lupus,237.300375 -35.651083,U,Zhou 2014,12 February 2012,2400,,M9,,optical broadband photometry,optical,HST/WFC3,Excess,Excess Balmer,1.30E-16,,,0.00,,0.462254,0.140686,5.01E-10,-9.3,,0.0295833,,,,-2.9,3-10,5,companion,1.600E+000,,,T R M meausred by Zhou,Added SIMBAD spectral type (Neuhaeuser 2005),,
NAME GSC 06214-00210B,GSC 6214-210 b,,Upper Sco OB Association,245.47771 -20.71884,U,Zhou 2014,22 February 2012,2700,200,,,optical broadband photometry,optical,HST/WFC3,Excess,Excess Balmer,7.98E-17,,,0.00,,0.150735,0.050245,1.00E-11,-11,,0.0133602,,,,-4.7,5-12,11,companion,5.000E-001,,Bowler+2014,T R M from prEVious literature,,,
NAME GSC 06214-00210B,GSC 6214-210 b,,Upper Sco OB Association,245.47771 -20.71884,U,Zhou 2014,22 February 2012,2200,,,,optical broadband photometry,optical,HST/WFC3,Excess,Excess Balmer,7.98E-17,,,0.00,,0.180882,0.050245,1.58E-11,-10.8,,0.0143145,,,,-4.6,5-12,11,companion,5.000E-001,,Bowler+2014,T R M meausred by Zhou,,,
2MASS J04554757+3028077,2MASS J04554757+3028077,,Taurus,73.94822 30.468815,III,Muzerolle 2005,"December 30, 2003",3161,,M4.75,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,1,,,,,0.20,,,,,,1,,,,,,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J10561638-7630530,2MASS J10561638-7630530,,Chameleon I,164.068252 -76.514725,U,Muzerolle 2005,"December 30, 2003",3014,,M5.6,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.64,,,-10.8,,0.10,,,,,,2,,,,,,,,
2MASS J10580597-7711501,2MASS J10580597-7711501,,Chameleon I,164.524916 -77.19725,II,Muzerolle 2005,"December 30, 2003",3091,,M5.25,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.47,,,-12,,0.10,,,,,,2,,,,,upper limit,disk classification from Luhman et al. 2008,,
2MASS J11072443-7743489,2MASS J11072443-7743489,,Chameleon I,166.851832 -77.730263,III,Muzerolle 2005,"December 30, 2003",3024,,M5.75,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.75,,,-12,,0.11,,,,,,2,,,,,upper limit,disk classification from Luhman et al. 2008,,
2MASS J11075993-7715317,2MASS J11075993-7715317,,Chameleon I,166.999709 -77.258827,III,Muzerolle 2005,"December 30, 2003",3024,,M5.75,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.95,,,-12,,0.12,,,,,,2,,,,,upper limit,disk classification from Luhman et al. 2008,,
2MASS J11080234-7640343,2MASS J11080234-7640343,,Chameleon I,167.009773 -76.676208,III,Muzerolle 2005,"December 30, 2003",2990,,M6,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.58,,,-12,,0.08,,,,,,2,,,,,upper limit,disk classification from Luhman et al. 2008,,
2MASS J11173792-7646193,2MASS J11173792-7646193,,Chameleon I,169.408026 -76.772049,III,Muzerolle 2005,"December 30, 2003",3024,,M5.75,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.42,,,-12,,0.08,,,,,,2,,,,,upper limit,disk classification from Luhman et al. 2008,,
2MASS J16081497-3857145,2MASS J16081497-3857145,,Lupus,242.062406 -38.954041,II,Alcala 2017,2015,3.06E+03,7.10E+01,M5.5,0.50,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,0.00,,0.33,0.09,5.01E-11,-1.03E+01,,0.10,2.00E-02,-1.00E+00,,-3.40E+00,3-10,3,,,,,,,,
2MASS J16085324-3914401,2MASS J16085324-3914401,,Lupus,242.221844 -39.244492,II,Alcala 2017,2015,3.42E+03,7.90E+01,M3,0.50,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,0.00,,1.57,0.38,1.58E-10,-9.80E+00,,0.32,4.00E-02,-4.95E-01,,-3.10E+00,3-10,3,,,,,,,,
2MASS J16085373-3914367,2MASS J16085373-3914367,,Lupus,242.223903 -39.243553,II,Alcala 2017,2015,3.06E+03,7.10E+01,M5.5,0.50,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,0.00,,0.29,0.06,2.51E-11,-1.06E+01,,0.10,2.00E-02,-1.00E+00,,-3.70E+00,3-10,3,,,,,,,,
2MASS J16085529-3848481,2MASS J16085529-3848481,,Lupus,242.230378 -38.813377,II,Alcala 2017,2015,2.94E+03,6.80E+01,M6.5,0.50,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,0.00,,1.07,0.29,3.16E-11,-1.05E+01,,0.10,2.00E-02,-1.00E+00,,-4.10E+00,3-10,3,,,,,,,,
2MASS J16100133-3906449,2MASS J16100133-3906449,,Lupus,242.505561 -39.112476,II,Alcala 2017,2015,2.94E+03,6.80E+01,M6.5,0.50,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,0.00,,1.77,0.55,2.04E-10,-9.69E+00,,0.14,3.00E-02,-8.54E-01,,-3.40E+00,3-10,3,,,,,,,,
V* AA Tau,V* AA Tau,AATau,Taurus,68.73092612 24.48139952,II,Gullbring 1998,December 1996,,,K7,,medium resolution spectra,3200 - 5200 A,MMT,Excess,Excess Balmer,,0.710,,#DIV/0!,,1.74,,3.30E-09,-8.48148606,,0.53,,,,0.025,,1,,,,,,,,
V* AA Tau,V* AA Tau,AATau,Taurus,68.73092612 24.48139952,II,Salyk 2013,2001-2011,4060,,K7,,R 25000 Spectroscopy,4.6538 μm,NIRSPEC/KeckII,Line Strength,PfB,2.09E+28,0.710,,1.71,,1.74,,,-8.31,,0.53,,,,-1.43,,11,,,,,,,,
V* AB Aur,V* AB Aur,ABAur,Auriga,73.94102499 30.55119258,II,Salyk 2013,2001-2011,9840,,A0,,R 25000 Spectroscopy,4.6538 μm,NIRSPEC/KeckII,Line Strength,PfB,2.75E+30,48.000,,2.39,,,,,-6.9,,2.40,,,,0.5,,1,,,,,,,,
2MASS J15445789-3423392,2MASS J15445789-3423392,AKC2006-19,Lupus,236.2417 -34.3942,II,Alcala 2017,,3.13E+03,7.20E+01,M5,0.50,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,0.00,,0.44,0.1,1.26E-11,-1.09E+01,,0.12,3.00E-02,-9.21E-01,,-4.10E+00,3-10,3,,,,,,,,
V* V866 Sco A,V* V866 Sco A,AS205N,Oph,242.88084 -18.64015,II,Salyk 2013,2001-2011,4450,,K5,,R 25000 Spectroscopy,4.6538 μm,NIRSPEC/KeckII,Line Strength,PfB,5.01E+29,7.100,,4.50,,,,,-7.1,,1.50,,,,-0.18,,1,,,,,,,,
V* V866 Sco B,V* V866 Sco B,AS205S,Oph,242.88083 -18.64056,II,Salyk 2013,2001-2011,3450,,M3,,R 25000 Spectroscopy,4.6538 μm,NIRSPEC/KeckII,Line Strength,PfB,2.69E+29,2.190,,4.15,,,,,-6.68,,0.30,,,,-0.42,,1,companion,,,,,,,
2MASS J16491530-1422087,2MASS J16491530-1422087,AS209,Oph,252.31376481 -14.36906723,II,Salyk 2013,2001-2011,4395,,K5,,R 25000 Spectroscopy,4.6538 μm,NIRSPEC/KeckII,Line Strength,PfB,3.24E+29,2.500,,2.73,,2.4,,,-7.52,,1.40,,,,-0.35,,1,,,,,,,,
V* BF Ori,V* BF Ori,BFOri,,84.30525987 -6.58349039,II,Salyk 2013,2001-2011,,,A5 F6,,R 25000 Spectroscopy,4.6538 μm,NIRSPEC/KeckII,Line Strength,PfB,6.92E+29,27,,#DIV/0!,,2.7,,,-7.34,,2.10,,,,-0.05,,,,,,,,,,
V* BP Tau,V* BP Tau,BPTau,Taurus,64.81597624 29.1074804,II,Gullbring 1998,December 1996,,,K7,,medium resolution spectra,3200 - 5200 A,MMT,Excess,Excess Balmer,,0.925,,#DIV/0!,,1.99,,2.88E-08,-7.540607512,,0.49,,,,0.179,,1,,,,,,,,
