#VisAO i-prime
#Effective wavelength =      0.76691462 microns
#Effective width =       0.13151942 microns
#note: no atmosphere included
#     lambda     trans     RSR       RSR+atm
     0.764500     0.970275     0.990920     0.990920
     0.765000     0.966730     0.987945     0.987945
     0.765500     0.963967     0.985765     0.985765
     0.766000     0.963160     0.985583     0.985583
     0.766500     0.962280     0.985326     0.985326
     0.767000     0.961409     0.985076     0.985076
     0.767500     0.960698     0.984989     0.984989
     0.768000     0.959866     0.984777     0.984777
     0.768500     0.958937     0.984464     0.984464
     0.769000     0.958045     0.984189     0.984189
     0.769500     0.957075     0.983831     0.983831
     0.770000     0.956160     0.983529     0.983529
     0.770500     0.955137     0.983115     0.983115
     0.771000     0.954122     0.982708     0.982708
     0.771500     0.952975     0.982163     0.982163
     0.772000     0.951941     0.981734     0.981734
     0.772500     0.950715     0.981104     0.981104
     0.773000     0.949669     0.980659     0.980659
     0.773500     0.948494     0.980079     0.980079
     0.774000     0.947371     0.979551     0.979551
     0.774500     0.946239     0.979013     0.979013
     0.775000     0.944833     0.978190     0.978190
     0.775500     0.943643     0.977588     0.977588
     0.776000     0.942129     0.976648     0.976648
     0.776500     0.938205     0.973207     0.973207
     0.777000     0.935621     0.971152     0.971152
     0.777500     0.934277     0.970381     0.970381
     0.778000     0.932895     0.969569     0.969569
     0.778500     0.931569     0.968813     0.968813
     0.779000     0.930318     0.968133     0.968133
     0.779500     0.929068     0.967453     0.967453
     0.780000     0.927618     0.966563     0.966563
     0.780500     0.926449     0.965964     0.965964
     0.781000     0.924979     0.965048     0.965048
     0.781500     0.923767     0.964401     0.964401
     0.782000     0.922426     0.963617     0.963617
     0.782500     0.921160     0.962910     0.962910
     0.783000     0.919813     0.962116     0.962116
     0.783500     0.918493     0.961349     0.961349
     0.784000     0.917205     0.960613     0.960613
     0.784500     0.916123     0.960093     0.960093
     0.785000     0.914903     0.959425     0.959425
     0.785500     0.913765     0.958841     0.958841
     0.786000     0.912638     0.958269     0.958269
     0.786500     0.911361     0.957537     0.957537
     0.787000     0.910420     0.957156     0.957156
     0.787500     0.909299     0.956584     0.956584
     0.788000     0.908318     0.956160     0.956160
     0.788500     0.907385     0.955783     0.955783
     0.789000     0.906399     0.955350     0.955350
     0.789500     0.905503     0.955010     0.955010
     0.790000     0.904544     0.954603     0.954603
     0.790500     0.903524     0.954130     0.954130
     0.791000     0.902375     0.953520     0.953520
     0.791500     0.901283     0.952968     0.952968
     0.792000     0.900251     0.952478     0.952478
     0.792500     0.899368     0.952145     0.952145
     0.793000     0.898394     0.951713     0.951713
     0.793500     0.897500     0.951366     0.951366
     0.794000     0.896527     0.950934     0.950934
     0.794500     0.895604     0.950553     0.950553
     0.795000     0.894826     0.950324     0.950324
     0.795500     0.893942     0.949983     0.949983
     0.796000     0.893068     0.949651     0.949651
     0.796500     0.892460     0.949600     0.949600
     0.797000     0.891606     0.949287     0.949287
     0.797500     0.890771     0.948992     0.948992
     0.798000     0.889976     0.948740     0.948740
     0.798500     0.889274     0.948586     0.948586
     0.799000     0.888657     0.948521     0.948521
     0.799500     0.887834     0.948236     0.948236
     0.800000     0.887186     0.948137     0.948137
     0.800500     0.885650     0.947087     0.947087
     0.801000     0.884180     0.946105     0.946105
     0.801500     0.882900     0.945325     0.945325
     0.802000     0.881421     0.944330     0.944330
     0.802500     0.879996     0.943392     0.943392
     0.803000     0.878401     0.942269     0.942269
     0.803500     0.876843     0.941183     0.941183
     0.804000     0.875516     0.940343     0.940343
     0.804500     0.873836     0.939122     0.939122
     0.805000     0.872194     0.937941     0.937941
     0.805500     0.870612     0.936821     0.936821
     0.806000     0.869133     0.935809     0.935809
     0.806500     0.867263     0.934375     0.934375
     0.807000     0.865600     0.933161     0.933161
     0.807500     0.864016     0.932031     0.932031
     0.808000     0.862756     0.931248     0.931248
     0.808500     0.863482     0.932609     0.932609
     0.809000     0.862319     0.931929     0.931929
     0.809500     0.860506     0.930544     0.930544
     0.810000     0.858653     0.929114     0.929114
     0.810500     0.857019     0.927918     0.927918
     0.811000     0.855487     0.926831     0.926831
     0.811500     0.853937     0.925722     0.925722
     0.812000     0.852409     0.924634     0.924634
     0.812500     0.850788     0.923445     0.923445
     0.813000     0.849098     0.922178     0.922178
     0.813500     0.847551     0.921063     0.921063
     0.814000     0.845686     0.919601     0.919601
     0.814500     0.844083     0.918422     0.918422
     0.815000     0.842349     0.917098     0.917098
     0.815500     0.840594     0.915749     0.915749
     0.816000     0.838958     0.914527     0.914527
     0.816500     0.837057     0.913014     0.913014
     0.817000     0.836148     0.912581     0.912581
     0.817500     0.836686     0.913727     0.913727
     0.818000     0.835662     0.913167     0.913167
     0.818500     0.833937     0.911839     0.911839
     0.819000     0.832160     0.910452     0.910452
     0.819500     0.830298     0.908969     0.908969
     0.820000     0.828479     0.907531     0.907531
     0.820500     0.826653     0.906083     0.906083
     0.821000     0.824711     0.904506     0.904506
     0.821500     0.822530     0.902662     0.902662
     0.822000     0.820971     0.901500     0.901500
     0.822500     0.818800     0.899663     0.899663
     0.823000     0.816759     0.897967     0.897967
     0.823500     0.814986     0.896561     0.896561
     0.824000     0.814874     0.896982     0.896982
     0.824500     0.813165     0.895644     0.895644
     0.825000     0.810303     0.893034     0.893034
     0.825500     0.807299     0.890261     0.890261
     0.826000     0.803856     0.887001     0.887001
     0.826500     0.799789     0.883048     0.883048
     0.827000     0.795186     0.878497     0.878497
     0.827500     0.789864     0.873146     0.873146
     0.828000     0.783553     0.866692     0.866692
     0.828500     0.776263     0.859147     0.859147
     0.829000     0.767252     0.849686     0.849686
     0.829500     0.757103     0.838953     0.838953
     0.830000     0.744720     0.825728     0.825728
     0.830500     0.730422     0.810363     0.810363
     0.831000     0.714881     0.793599     0.793599
     0.831500     0.697453     0.774717     0.774717
     0.832000     0.675807     0.751125     0.751125
     0.832500     0.651224     0.724237     0.724237
     0.833000     0.624296     0.694707     0.694707
     0.833500     0.594655     0.662120     0.662120
     0.834000     0.562809     0.627037     0.627037
     0.834500     0.529696     0.590499     0.590499
     0.835000     0.494112     0.551160     0.551160
     0.835500     0.457800     0.510962     0.510962
     0.836000     0.421717     0.470970     0.470970
     0.836500     0.385571     0.430860     0.430860
     0.837000     0.350283     0.391662     0.391662
     0.837500     0.316592     0.354202     0.354202
     0.838000     0.284324     0.318290     0.318290
     0.838500     0.254408     0.284970     0.284970
     0.839000     0.226728     0.254117     0.254117
     0.839500     0.201125     0.225555     0.225555
     0.840000     0.177374     0.199038     0.199038
     0.840500     0.155967     0.175121     0.175121
