#VisAO z-prime
#Effective wavelength =      0.90969793 microns
#Effective width =       0.12102354 microns
#note: no atmosphere included
#     lambda     trans     RSR       RSR+atm
     0.843000     0.993060     0.991687     0.991687
     0.843500     0.997451     0.996662     0.996662
     0.844000      1.00000     0.999801     0.999801
     0.844500     0.999606      1.00000      1.00000
     0.845000     0.998487     0.999471     0.999471
     0.845500     0.997524     0.999099     0.999099
     0.846000     0.995421     0.997581     0.997581
     0.846500     0.993596     0.996341     0.996341
     0.847000     0.991191     0.994517     0.994517
     0.847500     0.989040     0.992944     0.992944
     0.848000     0.986473     0.990952     0.990952
     0.848500     0.983858     0.988907     0.988907
     0.849000     0.981214     0.986830     0.986830
     0.849500     0.978254     0.984433     0.984433
     0.850000     0.977885     0.984641     0.984641
     0.850500     0.976724     0.984051     0.984051
     0.851000     0.973793     0.981674     0.981674
     0.851500     0.971041     0.979476     0.979476
     0.852000     0.968269     0.977253     0.977253
     0.852500     0.965459     0.974989     0.974989
     0.853000     0.962247     0.972315     0.972315
     0.853500     0.959800     0.970411     0.970411
     0.854000     0.958813     0.969980     0.969980
     0.854500     0.958190     0.969917     0.969917
     0.855000     0.955308     0.967567     0.967567
     0.855500     0.952452     0.965238     0.965238
     0.856000     0.949691     0.963002     0.963002
     0.856500     0.946640     0.960470     0.960470
     0.857000     0.944364     0.958719     0.958719
     0.857500     0.944105     0.959016     0.959016
     0.858000     0.942349     0.957790     0.957790
     0.858500     0.939785     0.955740     0.955740
     0.859000     0.936903     0.953365     0.953365
     0.859500     0.933258     0.950208     0.950208
     0.860000     0.930678     0.948133     0.948133
     0.860500     0.928082     0.946038     0.946038
     0.861000     0.926142     0.944609     0.944609
     0.861500     0.925523     0.944526     0.944526
     0.862000     0.924901     0.944439     0.944439
     0.862500     0.921956     0.941978     0.941978
     0.863000     0.919422     0.939933     0.939933
     0.863500     0.917259     0.938265     0.938265
     0.864000     0.914764     0.936255     0.936255
     0.864500     0.913690     0.935697     0.935697
     0.865000     0.913885     0.936437     0.936437
     0.865500     0.912128     0.935177     0.935177
     0.866000     0.909407     0.932927     0.932927
     0.866500     0.907057     0.931053     0.931053
     0.867000     0.903774     0.928218     0.928218
     0.867500     0.901948     0.926877     0.926877
     0.868000     0.902014     0.927479     0.927479
     0.868500     0.901442     0.927425     0.927425
     0.869000     0.898698     0.925134     0.925134
     0.869500     0.896140     0.923032     0.923032
     0.870000     0.894346     0.921714     0.921714
     0.870500     0.890020     0.917783     0.917783
     0.871000     0.887538     0.915749     0.915749
     0.871500     0.886449     0.915150     0.915150
     0.872000     0.883389     0.912515     0.912515
     0.872500     0.879326     0.908838     0.908838
     0.873000     0.875989     0.905908     0.905908
     0.873500     0.872598     0.902918     0.902918
     0.874000     0.869520     0.900249     0.900249
     0.874500     0.867060     0.898215     0.898215
     0.875000     0.866404     0.898048     0.898048
     0.875500     0.863467     0.895516     0.895516
     0.876000     0.859201     0.891600     0.891600
     0.876500     0.855974     0.888758     0.888758
     0.877000     0.851627     0.884750     0.884750
     0.877500     0.848994     0.882517     0.882517
     0.878000     0.847839     0.881819     0.881819
     0.878500     0.844626     0.878977     0.878977
     0.879000     0.840918     0.875616     0.875616
     0.879500     0.837571     0.872627     0.872627
     0.880000     0.833535     0.868915     0.868915
     0.880500     0.830355     0.866093     0.866093
     0.881000     0.827384     0.863484     0.863484
     0.881500     0.824655     0.861124     0.861124
     0.882000     0.824209     0.861147     0.861147
     0.882500     0.821479     0.858782     0.858782
     0.883000     0.818071     0.855703     0.855703
     0.883500     0.814976     0.852948     0.852948
     0.884000     0.811947     0.850259     0.850259
     0.884500     0.808728     0.847368     0.847368
     0.885000     0.805715     0.844687     0.844687
     0.885500     0.803389     0.842725     0.842725
     0.886000     0.802824     0.842607     0.842607
     0.886500     0.800256     0.840386     0.840386
     0.887000     0.797663     0.838135     0.838135
     0.887500     0.794660     0.835451     0.835451
     0.888000     0.790424     0.831466     0.831466
     0.888500     0.787967     0.829348     0.829348
     0.889000     0.785191     0.826891     0.826891
     0.889500     0.785856     0.828057     0.828057
     0.890000     0.781768     0.824212     0.824212
     0.890500     0.778878     0.821626     0.821626
     0.891000     0.776057     0.819111     0.819111
     0.891500     0.773956     0.817352     0.817352
     0.892000     0.772909     0.816703     0.816703
     0.892500     0.769707     0.813776     0.813776
     0.893000     0.767542     0.811941     0.811941
     0.893500     0.765125     0.809838     0.809838
     0.894000     0.761052     0.805978     0.805978
     0.894500     0.757340     0.802495     0.802495
     0.895000     0.754553     0.799989     0.799989
     0.895500     0.752254     0.797997     0.797997
     0.896000     0.750413     0.796489     0.796489
     0.896500     0.749145     0.795587     0.795587
     0.897000     0.747334     0.794106     0.794106
     0.897500     0.742922     0.789858     0.789858
     0.898000     0.739743     0.786916     0.786916
     0.898500     0.736354     0.783747     0.783747
     0.899000     0.735304     0.783065     0.783065
     0.899500     0.732880     0.780918     0.780918
     0.900000     0.730380     0.778686     0.778686
     0.900500     0.727256     0.775787     0.775787
     0.901000     0.724066     0.772813     0.772813
     0.901500     0.720962     0.769927     0.769927
     0.902000     0.718207     0.767410     0.767410
     0.902500     0.717154     0.766710     0.766710
     0.903000     0.714723     0.764534     0.764534
     0.903500     0.711593     0.761608     0.761608
     0.904000     0.708332     0.758536     0.758536
     0.904500     0.705140     0.755536     0.755536
     0.905000     0.701886     0.752465     0.752465
     0.905500     0.698662     0.749422     0.749422
     0.906000     0.695455     0.746395     0.746395
     0.906500     0.694058     0.745307     0.745307
     0.907000     0.691810     0.743302     0.743302
     0.907500     0.688554     0.740212     0.740212
     0.908000     0.685159     0.736968     0.736968
     0.908500     0.681866     0.733830     0.733830
     0.909000     0.678496     0.730605     0.730605
     0.909500     0.675124     0.727373     0.727373
     0.910000     0.671816     0.724208     0.724208
     0.910500     0.669695     0.722318     0.722318
     0.911000     0.667259     0.720085     0.720085
     0.911500     0.663395     0.716308     0.716308
     0.912000     0.659540     0.712537     0.712537
     0.912500     0.655685     0.708760     0.708760
     0.913000     0.651805     0.704952     0.704952
     0.913500     0.648524     0.701788     0.701788
     0.914000     0.646360     0.699829     0.699829
     0.914500     0.642970     0.696540     0.696540
     0.915000     0.639009     0.692626     0.692626
