Sixth Catalog of Orbits of Visual Binary Stars: Orbits																					
RA(2000).	DEC(2000)	WDS.......	DD............	HD....	V1.11	*	V2.22	*	PPPPP.PPPPPP	*	eee.eeeeee	AAA.AAAAA	*	ee.eeeee	III.IIII	eee.eeee	NNN.NNNN	eee.eeee	TTTTT.TTTTTT	*	eee.eeeeee
105542.4	4413	10557+0044	BU 1076	94672	5.98		9.02		138.9	y	3.02	0.75	a	0.069	125.7	9.5	219.3	4	1921.62	y	5.07
105828.33	171106.2	10585+1711	A  2375	95037	10.44		10.03		152.5	y	10	0.372	a	0.018	151.5	8	71.7	2	1964.82	y	0.3
105913.89	-813322.8	10592-8133	I   212	95788	7.57		7.58		246	y		0.599	a		49.2		191.1		2002	y	
105934.82	175959.8	10596+1800	HDS1568	95175	9.04		11.62		16.244	y		0.203	a		115.8		95.3		2003.412	y	
105938.31	252615.5	10596+2527	AG  342	95174	8.57		9.22		397	y		4.2	a		42		351		1767	y	
110000.46	413608	11000+4136	BD+42 2173		10.08				328.3	d		4.91	m	1.9	68.7	19.3	254.2	36	46542.1	d	
110002.02	-32816.5	11000-0328	STF1500	95280	7.91		8.27		2120.7	y		3.371	a		98.9		311		1873.1	y	
110051.32	-402953.3	11009-4030	FIN 365	95506	7.5		7.5		26.86	y	0.23	0.168	a	0.004	100.5	0.9	107.4	1.1	1990.21	y	1.14
110123.29	-120334.1	11014-1204	HDS1572	95502	8.27		9.87		18.64	y	0.72	0.173	a	0.003	98.7	0.8	142.4	0.4	2013.69	y	0.03
110320.61	355853.3	11033+3558	Lal 21185	95735	7.49				8	y		0.0336	a		79		81.8		1939.3	y	
110327.91	543133	11035+5432	A  1590	95690	8.95		9.64		202.24	y		0.857	a		157.7		152.1		1917.96	y	
110343.84	614504	11037+6145	BU 1077AB	95689	2.02		4.95		44.448	y	0.11	0.59	a	0.026	159.9	3.5	9.3	8.2	2002.17	y	0.094
110440.97	-41324.6	11047-0413	A   676BC		10.75		11.09		23.23	y		0.343	a		62.6		71.7		1995.22	y	
110520.03	-271736.9	11053-2718	FIN  47AB	96202	5.7		5.7		7.603	y		0.137	a		95		224.7		1983.46	y	
110533.98	-110519.4	11056-1105	TOK 221	96220	6.1		11		30	y		200	m								
110534.65	544828.7	11056+5448	A  1591	96061	8.98		9.52		105	y		0.205	a		143.5		52.5		1993	y	
110648.71	-704948.8	11068-7050	B  2006	96705	7.9		8		127	y		0.285	a		67		162.5		1973	y	
110800.06	524917.9	11080+5249	STF1510	96527	7.65		9.03		6600	y	900	7.9	a	3	165	18	49	85	1565	y	45
110813.53	-522408.9	11082-5224	CD-51 5355	96805	6.86				1255	d	194	9.5	m	2.1	133	12	296	96	49154	d	350
111011.93	-112135.9	11102-1122	HDS1590	97038	8.43		8.78		20.63	y	1.62	0.136	a	0.006	129.4	0.9	255.8	5.4	1995.82	y	1.68
111041.86	310932.7	11107+3110	HJ 2562		10.53		11.4		619.93	y		1.3822	a		162.85		135.96		2043.77	y	
111105.23	302645.4	11111+3027	STT 231AB	97101	8.86		9.98								91.5		83.1		2050	y	
111133.12	-145928.9	11116-1459	BEU  15	97233	9.05				939.278	d	28.9558	38.69	m	15.38	89.1	2.44	88.48	4.47	48028.4102	d	16.9524
111225.67	354813.2	11124+3548	BOY   5		18.58		19.65	R	15.65	y		130.1	m		102.9		101.03		56664.5	d	
111230.37	-182959.5	11125-1830	BU  220	97411	6.24		8.34		365.68	y	8.02	0.553	a	0.022	99.8	0.8	325.3	0.6	1983.93	y	3.59
111233.15	-490603.9	11126-4906	HR 4350	97495	5.38				975	d	51	14	m	13	68	10	79	18	48478	d	142
111233.15	-490603.9	11126-4906	HR 4350	97495	5.38				1018	d	64	12	m	10	70	8	85	14	48515	d	141
111334.66	552457	11136+5525	A  1353	97455	7.73		9.16		127.25	y		0.39	a		117.6		44.4		1962	y	
111341.22	200744.9	11137+2008	STF1517AB	97561	7.54		8.02		924	y		2.278	a		93.6		120.4		1393.49	y	
111403.66	-152607.1	11141-1526	BU  916	97635	8.2		9.35		1386.46	y		1.177	a		45.2		143.7		1991.78	y	
111525.93	-524847.7	11154-5249	SAO 238908	97961	8.65				700.9778	d	17.5963	11.27	m	1.68	39.54	10.82	15.59	16.18	48618.0547	d	38.2466
111551.9	131827.3	11159+1318	MCA  35	97907	5.6		6.8		8.112	y	0.0078	0.0462	a	0.0011	49.1	4.1	283.3	4.4	1974.015	y	0.028
111554.22	20512	11159+0205	NLTT 26792	97916	9.17				663.18	d		4	m	0.9	54	19.3	185.9	11.7	46644	d	
111614.98	313618.1	11162+3136	A  2157	97936	9.25		12.21		619.93	y		1.3822	a		162.85		135.96		2043.77	y	
111810.9	313144.9	11182+3132	STF1523A	98231	4.3				1.834	y		0.054	a		91		318		1992.29	y	
111810.9	313144.9	11182+3132	STF1523AB	98231	4.33		4.8		59.878	y		2.536	a		122.13		101.85		1935.195	y	
111859.91	141606.9	11190+1416	STF1527	98354	7.01		7.99		415	y	15.9	2.225	a	0.045	55.6	0.5	188	0.5	2010.503	y	0.042
111904.62	-310022.3	11191-3100	I   506	98415	8.24		9.37		585	y		1.94	a		71.3		87.6		2460	y	
111907.94	381108.6	11191+3811	CHR 133	98353	4.78		5.3		1872.7	d	7.4	0.0913	a	0.0009	64.8	0.8	130	0.8	48805	d	18
112100.4	-542927.7	11210-5429	I   879	98718	4.08		5.65		39	y	0.19	0.2263	a	0.0011	19.4	4.9	327.8	3.9	2010.41	y	0.037
112126.67	-202713.6	11214-2027	STN  22	98712	8.88		11.27		714.6	y		5.896	a		47.4		175.5		2063.9	y	
112149.26	-131308.4	11218-1313	FME   1		11.9		15.7		14.22	y	0.1	0.2165	a	0.002	42	1.1	257.8	1.5	53845	d	15
112205.29	-244639.8	11221-2447	I   507AB	98800	9.59		10.06		214	y		1.03	a		88.1		184.2		2023.1	y	
112205.34	-244639.5	11221-2447	BOD   1Ba Bb	98800	10.4		11.5		314.327	d	0.028	23.3	m	2.5	66.8	3.2	337.6	2.4	52481.34	m	0.22
112302.64	40817	11230+0408	A  2776AB	98914	8.8		8.8		97	y		0.19	a		53.6		192		1998	y	
112355.37	103146.9	11239+1032	STF1536AB	99028	4.06		6.71		186	y		1.91	a		128		235		1948.8	y	
112440.34	-613851.1	11247-6139	BSO   5	99279	7.68		8.76		399.37	y		5.672	a		49.5		75.1		1918.37	y	
112630.78	80541	11265+0806	A  2575	99420	10.1		10.1		230	y		0.43	a		67		128.6		2080	y	
112645.75	30045.6	11268+0301	STF1540AB	99491	6.55		7.5		320	c		40.76	a		126.6		164.3		5200	y	
112647.3	-530935.8	11268-5310	I   883	99574	6.83		6.52		154.3	y		0.224	a		35.3		129.8		1976.81	y	
112710.78	-153855	11272-1539	HU  462	99565	8.42		8.53		48.4	y	0.11	0.445	a	0.003	166.5	2.9	127.6	11.7	2008.46	y	0.49
112753.73	-14159.8	11279-0142	RST4944	99651	6.62		8.22		447	y		0.405	a		131		287		2011	y	
112837.32	-450827.4	11286-4508	I   885AB	99804	7.98		9.9		650	y		1.69	a		100.8		8.4		2520	y	
112918.83	302528.3	11293+3025	L    11	99832	7.22		10.35		254.9	y	7.9	1.18	a	0.12	117	98	246	20	2075	y	61
112943.17	-61831.3	11297-0619	A     7	99917	9.7		9.7		204.32	y	11.2	0.447	a	0.077	105.1	5.8	93.3	4.9	2050.54	y	19.37
113004.31	295752.5	11301+2958	AW UMa	99946	6.92				16.8	y	5	120	m		78.3						
113049.91	411712.7	11308+4117	STT 234	100018	7.45		8.13		86.86	y	3	0.381	a	0.015	56.6	1.5	336.4	2	1967.89	y	0.5
113144.94	142152.2	11317+1422	STF1547AB	100180	6.33		9.14		3453	y		16.25	a		58		138		1228	y	
113155.26	-343627.4	11319-3436	ZUC   1Aa Ab		8.46	k	8.39	k	6.024	y	0.009	63.7	m	0.2	97.5	0.1	36.5	0.3	55328	d	6
113155.26	-343627.4	11319-3436	LWR   2AB		7.7	k	12.6	k	1380	y	59	2.548	a	0.015	138	10	36.1	7.1	2168.31	y	0.51
113212.54	361450.4	11322+3615	HU 1134	100235	7.24		7.85		81.47	y		0.216	a		91.4		120.1		1927.37	y	
113220.76	610457.9	11323+6105	STT 235AB	100203	5.69		7.55		72.7	y		0.79	a		46		80		1981.8	y	
113422.84	-465826.1	11344-4658	CD-46 7189	100607	8.92				526	d	26	18.6	m	11.6	65	12	140	14	48639	d	201
113527	-323216.4	11355-3232	LTT 4290		9.79				500.2892	d	31.9162	4.27	m	2.04	53.54	20.84	345.85	21.79	48402.9102	d	28.4018
113606.78	125118.8	11361+1251	STF1554	100797	9.44		9.63		478.88	y		0.868	a		74.8		84.6		1962.44	y	
113617.94	274652.7	11363+2747	STF1555AB	100808	6.41		6.78		916	y		1.935	a		85.7		150		2024.45	y	
113649.86	-122102.7	11368-1221	BU  456	100922	9.56		9.73		706	y	191	1.69	a	0.09	53.3	1.9	42.3	1.32	1914.42	y	0.58
113715.94	-755347.5	11373-7554	pi Cha	101132	5.65				223.1845	d	1.946	7.86	m	0.83	104.88	5.52	160.26	7.47	48424.8945	d	15.6807
113724.61	472744.8	11374+4728	KU   39		10.68		11.16		278.8	y		2.14	a		50.1		142.8		1743.8	y	
113753.05	503705.8	11379+5037	GC 15947	101013	6.12				1707	d		7.92	m	1.02	73.74	24.34	351.35	12.61	42240.5	d	
113753.05	503705.8	11379+5037	GC 15947	101013	6.12				1710.9	d		7.88	m	1.2	77.6	26.4	347.8	15.9	43934	d	
113820.37	-632221.9	11383-6322	I   422AB	101205	7.1		7.42		1715.8	y	285.4	1.316	a	0.445	81.9	13	234.8	8.8	909.2	y	230.1
113844.9	450630.3	11387+4507	STF1561AB	101177	6.53		8.23		2050	y		10.33	a		125.86		271.24		2500	y	
113857.21	410834.8	11390+4109	STT 237AB	101207	8.11		9.32		3525	y		4.56	a		121.6		103.6		1825	y	
113929.63	-652351.9	11395-6524	B  1705AB	101379	5.52		6.61		96.8	y	2.4	0.276	a	0.004	60.9	2	259.8	1.5	2003.55	y	0.29
114134.5	314445.5	11416+3145	BNU   3Aa Ab	101606	5.73		6.7		267.508	d	0.001	27	m	1	70	5.7	39	3.1	47327.5	d	0.02
114404.12	-44825.8	11441-0448	RST5524	101969	8.9		8.9		56.24	y	1.92	0.148	a	0.003	48.7	4.4	15.4	5.1	1984.17	y	0.81
114438.59	-492502.4	11446-4925	RST9004AB	102077	9.35		10.64		35.5	y	0.3	306.2	m	1.3	28.5	0.9	140	0.7	55152	d	5
114536.57	-664343.8	11456-6644	lam Mus	102249	3.63				452.5039	d	8.2031	6.31	m	1.05	134.01	8.34	29.42	10.76	48295.2344	d	19.4047
114759.23	201308.2	11480+2013	MKT   7Aa Ab	102509	4.53				71.69	d	0	7.5	m	0.1	50.1	0.5	138	1	47642.6	d	0.2
114838.71	141703.2	11486+1417	BU  603AB	102590	5.97		8.53		129.74	y	2.02	0.734	a	0.046	140.4	6.2	228.4	13.2	1943.84	y	3
114927.9	-460403.1	11495-4604	FIN 366	102703	7.58		8.75		67.6	y	13.3	0.237	a	0.056	75.4	4.7	155.1	4.8	1966.3	y	2.5
115102.23	-52000	11510-0520	MCA  36	102928	5.64				490.765	d		2.4	m	0.3	75.5	5.4	296.5	4.2	51667.7	d	
115124.85	114818.6	11514+1148	HDS1672	102988	7.18		10.92		53.79	y	11.28	0.361	a	0.045	47	3.4	175.3	6.9	2007.07	y	0.31
115126.34	503218.8	11518+5032	HU  730		10.5		10.5		249	y		0.242	a		130		14		2085	y	
115157.86	480519.5	11520+4805	HU  731		9.81		9.68		207.77	y	38.24	1.179	a	0.046	96.6	1	118.7	1.9	1900.83	y	2
115227.18	-140739.2	11525-1408	HDS1676	103130	8.08		9.33		16.36	y	2.6	0.134	a	0.017	42.8	8.9	313.1	30.4	2000.45	y	2.32
115312.6	-154025.4	11532-1540	A  2579	103228	9.29		8.61		236.3	y		0.321	a		147.9		17.8		1897.68	y	
115343.07	734521.7	11537+7345	BU  794AB	103246	7.23		8.32		76.7	y		0.41	a		39		22		1987.3	y	
115349.84	534141.1	11538+5342	gam UMa	103287	2.4		6	>	20.5	y	1	0.46	a		51	15	6	61	1984	y	2
115404.36	715527.1	11541+7155	A    75	103321	7.99		9.1		82.3	y		0.267	a		104.5		23		1921.8	y	
115426.06	-374456.7	11544-3745	HWE  71	103437	6.75		8.6		248.8	y		1.004	a		99.6		276.3		2008.48	y	
115501.14	-560543.9	11550-5606	HLD 114	103493	7.36		7.81		930	y	98	8.02	a	0.9	97.7	1.5	167.4	1.3	2039	y	91
115505.74	462836.6	11551+4629	A  1777A	103483	6.5				641.5	d	16.7	11	m		47		0		49615.4	d	38.9
115505.74	462836.6	11551+4629	A  1777AB	103483	6.5		9		118.209	y	0.69	0.2082	a	0.0097	38.1	2.4	2.1	4.2	47515.9	d	126.8
115507.17	31307.1	11551+0313	SAO 119113	103501	7.76				1004.5721	d	144.756	6.38	m	1.52	119.27	25.83	154.74	35.8	48951.1953	d	126.0863
115600.24	352026.1	11560+3520	CHR 258	103613	7		9.1		13.53	y		0.143	a		135.1		302.5		2010.54	y	
115829.49	-235001.4	11585-2350	RST3767AB		10.85		11.08		145	y		0.418	a		60.3		62.2		2003	y	
120037.54	691107.8	12006+6911	A  1088	104288	7.88		8.81		134.9	y		0.356	a		75.5		29.5		2017.3	y	
120052.39	63651.8	12009+0637	pi Vir	104321	4.66				282.69	d		3.55	m	0.85	62.71	24.62	149.34	19.07	48281.3906	d	11.1289
120146.09	-343901.1	12018-3439	I   215	104471	7.27		8.48		156	y		0.781	a	0.004	112.4	0.4	270.3	0.5	2018.8	y	0.2
120336.35	-390032.6	12036-3901	SEE 143	104747	7.05		7.65		111	y	1.4	0.673	a	0.009	155.3	2.1	211	8.5	1913	y	1.3
120412.06	240710.1	12042+2407	A   682	104815	8.82		10.76		380	y		0.389	a		116.5		143.5		1999.48	y	
120550.65	-185230.9	12058-1853	WNO  54A	105065	9.97				1854	d		12	m		74		53		48368	d	
120601.37	684155.5	12060+6842	STF3123AB	105122	8.01		7.9		122.3	y	1.4	0.2959	a	0.0042	143.2	1.4	284.8	1.6	1981.49	y	0.24
120623.08	-654233.9	12064-6543	FIN 367Aa Ab	105151	6.79		7.14		48.37	y	0.8	0.171	a	0.005	119.4	2	176	3	2001.27	y	0.5
121047.34	395329.5	12108+3953	STF1606	105824	7.44		7.93		1431	y	78	2.002	a	0.096	129.5	1.8	122.2	1.5	1988.32	y	0.98
121047.34	395329.5	12108+3953	STF1606A	105824	6.85		7.35		75	y		0.078	a		83.137		138.419		1880.276	y	
121146.05	231921.2	12118+2319	GC 16657	105982	6.74				1355	d		4.74	m	1.33	63.18	17.78	20.2	16	44398.5	d	
121151.2	255213.3	12119+2552	4 Com	105981	5.67				461	d		1.2	m	0.4	19.2	41.5	91.6	9.2	22360.79	d	
121420.99	114909.3	12143+1149	AH Vir	106400	9.33				41.1	y	15	180	m		86.5						
121510.54	-101835.8	12152-1019	BUP 139A	106516	6.11				843.9	d		4.4	m	0.5	80.7	2.3	108.4	3.1	47589	d	
121526.22	400741.1	12154+4008	A  1999	106592	9.09		11.33		200.01	y		0.983	a		58		198.1		2014.08	y	
121526.96	-310538.2	12155-3106	RST1658	106549	10.17		11.32		61.2	y		0.671	a		53		112.7		1984.8	y	
121546.68	-232113.9	12158-2321	BU  920	106612	6.86		8.22		873.041	y	25.251	2.012	a	0.137	63.5	3.9	142.2	3.7	1764.26	y	6.576
121558.34	53824.8	12160+0538	STF1621		10.22		10.59		1100	y		3.5	a		26		2		1973.67	y	
121600.42	480658.4	12160+4807	HU  736	106689	9.57		9.99		245.47	y		0.305	a		153.4		275.9		1949.77	y	
121630.17	330342.5	12165+3304	CHR  37	106760	5				1314.3	d		6.6	m	2.89	120.06	20.16	77.87	16.18	41468.5	d	
121900.84	280252.7	12190+2803	G 121-75		8.95				2167	d		19.6	m	2.7	51.3	7.7	11.8	8.2	50134	d	
121954.39	-4000.3	12199-0040	MCA  37	107259	3.89		5.9		13.1	y		0.135	a		50		173		1990.2	y	
122151.95	-182400.2	12219-1824	BD-17 3602	107574	8.55				1350	d		9.95	m	2.4	123.3	11.6	264.1	16.6	46342	d	
122426.81	253456.7	12244+2535	STF1639AB	108007	6.74		7.83		575.44	y		1.224	a		150.4		140.8		1891.75	y	
122559.69	-145651.8	12260-1457	BU  606	108215	7.42		9.39		707.61	y		1.441	a		96.9		100.1		2009.44	y	
122635.94	-630556.6	12266-6306	DUN 252AB	108248	1.25		1.55								100.51		102.7		2106	y	
122647.72	-53531.6	12268-0536	A    78	108320	8.11		8.79		111.93	y	1.72	0.263	a	0.005	49.3	2.2	249.9	3.2	1997.5	y	0.4
122700.77	-33205.6	12270-0332	A    79AB	108361	8.89		10.03		99.44	y		0.469	a		104		115.5		1986.83	y	
122713.72	270129.6	12272+2701	STF1643AB	108421	9.03		9.45		549.41	y		2.695	a		115.2		155.3		2193.49	y	
122713.72	270129.6	12272+2701	STF1643AB	108421	9.03		9.45		1628	y		3.72	a		123		156		2050	y	
122726.42	-284258.4	12274-2843	B   228	108410	8.18		8.39		44.483	y	6.249	0.173	a	0.107	63.6	12	137.8	10.6	1952.295	y	1.251
122815.23	-154734.2	12283-1548	MEL   7		20.52		21.05		44.2	y		0.317	a		130.7		69.7		1989.22	y	
122816.79	-614555.2	12283-6146	CPO  12A BC	108500	7.32		8.24		2520	y		5.43	a		143.5		39.3		1953	y	
122816.79	-614555.2	12283-6146	RST4499BC	108500	8.8		8.8		28.01	y	0.16	0.229	a	0.003	154.4	3	161.5	8.8	1990.07	y	0.33
122857.58	82531.8	12290+0826	GJ 469		12.1				12.2	y		0.06	a		101		10		1982.1	y	
122907.72	312325.4	12291+3123	STT 251	108693	8.35		9.27		540.56	y		0.553	a		33.4		165.1		1894.33	y	
123004.93	-132335	12301-1324	BU   28AB	108799	6.49		9.58		151	y		1.4	a		24		94		1944	y	
123006.76	691204.5	12301+6912	CG Dra	108907	4.95				1703	d		5.99	m	0.93	32.5	4.4	205.7	8.6	42868	d	
123033.75	94256.4	12306+0943	STF1647	108875	8.09		8.37		4273	y		4.358	a		67		221.5		1864.3	y	
123118.81	550707.8	12313+5507	NO UMa	109011	8.1				1366	d	164	35.2	m	4.1	61	6	175	6	48520	d	334
123135.73	320122.5	12316+3201	COU 966		10.18		10.99		90.43	y		0.126	a		172.4		63.6		2036.13	y	
123318.43	90113.9	12335+0901	REU   1		12.6	v	12.6		15.9	y	0.9	0.907	a	0.03	102.3	0.8	143	1.9	1976.6	y	0.9
123451.12	223745.1	12349+2238	WRH  12	109485	4.96		6.9		36	y		0.192	a		119.1		199.9		1960.81	y	
123542.81	-164934.1	12357-1650	FIN 368Aa Ab	109557	6.83		9.93		20.07	y	0.1	0.1416	a	0.0009	100.5	0.8	116.4	0.6	1985.52	y	0.09
123710.81	211152.5	12372+2112	STF1663	109782	8.03		9.16		986	y		0.701	a		141.5		113.7		1671	y	
123907.36	210345.3	12391+2104	26 Com	110024	5.49				972.4	d		4	m	0.5	75.8	3.1	318.4	4.4	43304	d	
123910.45	-402207.3	12392-4022	B  1215	109961	9.15		9.84		59.82	y	0.24	0.242	a	0.03	50.6	6.5	57.2	10.4	1995.378	y	0.54
123938.94	-371713	12396-3717	DAW  63	110035	9.97		9.81		56.85	y	0.32	0.387	a	0.004	21.6	5.3	194.5	13.8	2021.02	y	0.55
124050.01	403118.6	12408+4031	LTT 13601	110314	8.29				1131.5052	d	117.1785	21.47	m	1.21	122.94	5.91	77.47	5.25	48556.0117	d	156.5298
124055.44	270820.9	12409+2708	COU 596	110297	8.5		8.7		38.13	y		0.118	a		140.5		78		1988.88	y	
124131.2	-485735.6	12415-4858	HJ 4539AB	110304	2.82		2.88		83.57	y	0.21	0.869	a	0.011	113.7	0.7	2.6	0.7	1931.25	y	0.07
124139.6	-12657.9	12417-0127	STF1670AB	110379	3.48		3.53		169.104	y	0.011	3.639	a	0.008	149.46	0.16	35.34	0.42	2005.511	y	0.0019
124210.75	262139.5	12422+2622	A  1851	110465	10.09		10.08		61.3	y		0.415	a		26		129.8		1959.3	y	
124255.41	51559.9	12429+0516	A  1602	110555	8.77		10.12		699.4	y		1.567	a		96.9		5.3		1913.05	y	
124354.62	342038.2	12439+3421	GC 17317	110743	8.79				799.1156	d	15.0201	22.1	m	1.56	49.06	11.96	87.18	13.78	48039.832	d	51.2925
124414.9	514535.1	12442+5146	GC 17326	110833	7.04				270.2108	d	3.3137	7.19	m	0.71	48.85	10.2	154.94	13.01	48401.4258	d	8.9533
124434.99	-571712.8	12446-5717	FIN  65AB	110698	6.99		8.18		200	y	10	0.404	a	0.01	111.3	0.5	48.7	1	1952.75	y	0.5
124616.87	-680629.1	12463-6806	R   207AB	110879	3.52		3.98		194.276	y	2.65	0.969	a	0.068	37.1	6.5	349.4	4.2	1857.504	y	3.79
124659.08	-74758.9	12470-0748	GC 17364	111096	7.7				564.6935	d	17.0412	8.24	m	1.27	88.52	5.39	147.82	6.33	48496.3281	d	11.9915
124722.64	164935.1	12474+1650	BD+17 2537		8.82				1796	d		11.88	m	8.8	120.8	32.5	293.1	31.2	46291	d	
124832.26	-154310.5	12485-1543	WSI  74Aa Ab	111312	8.2		9.6		2.687	y	0.008	0.08	a	0.004	51	4.1	152.1	3.1	2011.179	y	0.02
124839.34	601911.6	12487+6019	GJ 9417	111456	5.85				1574	d	170	43.9	m	2.3	107	2	30	90	48566	d	258
125041.87	203204.9	12507+2032	HU  640		10.19		9.91		124.28	y		0.62	a		54.8		286.3		1911.28	y	
125155.76	-264723.2	12520-2648	B   234		10.29		10.26		122	y		0.357	a		43		139.7		1972	y	
125317.33	424616.8	12533+4246	COU1579		9.4		9.7		90.81	y		0.409	a		72.2		158		2023.25	y	
125317.77	211442.1	12533+2115	STF1687AB	112033	5.15		7.08		359	y		1.181	a		34		201.4		2038	y	
125317.77	211442.1	12533+2115	STF1687AB	112033	5.15		7.08		539.4	y	95.4	1.405	a	0.046	28.4	13.4	238.7	2.7	1949.4	y	7.9
125338.12	-41328.2	12536-0413	HR 4896	112048	6.45		14.3		1010.5	d	0.7	27.2	m		37.6	26.4	8.6	10.7	53486.2	d	1.7
125515.97	74957.6	12553+0750	NLTT 32291		9.96				1042.6	d		10.3	m	1.7	55.1	15.3	45	8.2	45945.2	d	
125522.52	695314.9	12554+6953	A  1092		9.73		9.88		58	y		0.22	a		146.3		104.9		1941.1	y	
125617.87	323151.5	12563+3232	BD+33 2286	112445	8.46				1136.6	d		5.4	m	1.1	84.2	11.7	208.9	10.4	49763	d	
125626.59	-5716.6	12564-0057	STT 256	112398	7.33		7.61		605	y		1.549	a		75		143.6		1749.7	y	
125639.54	-474110.7	12567-4741	I    83	112361	7.39		7.68		173.38	y		0.51	a		43.5		73.5		1921.96	y	
125713.62	81737.5	12572+0818	FIN 380	112503	7.5		7.88		84.9	y		0.219	a		83.2		166.5		1971.22	y	
125753.94	494816.8	12579+4948	HU  641	233997	10.3		10.3		323.48	y		0.366	a		140.8		58.3		1963.41	y	
125932.97	415910.8	12595+4159	LTT 13738	112914	8.64				710.6	d		14.12	m	0.47	81.8	5	101.3	4.9	49220	d	
125939.55	-34843	12597-0349	CHR  39Aa Ab	112846	5.9		8.3		7.906	y		0.078	a		19.3		21.6		2011.562	y	
130043.59	562158.8	13007+5622	BU 1082	113139	5.02		7.88		104.9	y	0.6	1.208	a	0.01	46.9	0.9	88	1.1	1921.224	y	0.403
130046.58	122232.6	13008+1223	BEU  16AB		9.75				14.5	y		0.051	a		144		16		1983.3	y	
130215.78	-713255.7	13023-7133	del Mus	112985	3.62				422.0266	d	5.3908	11.67	m	1.02	120.07	6.02	59.27	5.29	47947.668	d	27.5934
130251.05	132824.2	13029+1328	STF1711	113322	9.27		9.36		542	y		1.032	a		97		179.8		2126	y	
130346.09	-203500.3	13038-2035	BU  341	113415	6.25		6.51		58.98	y		0.718	a		92.8		136.2		1964.1	y	
130349.65	-50942.5	13038-0510	EVT   3	113449	5.72	k	7	k	216.9	d	0.2	33.7	m	0.4	57.5	1.5	201.8	1.6	53410.5	m	1
130354.42	-33947.3	13039-0340	BU  929	113459	7.12		7.65		438	y		0.781	a		101.1		25.9		2173.4	y	
130402.74	-173729.9	13040-1738	BU  798AB	113460	9.16		9.67		60.2	y		0.352	a		84.8		170.9		1980.3	y	
130426.98	-131545.8	13044-1316	HU  642		10.66		10.41		108.11	y		0.3402	a		110.78		171.33		1919.12	y	
130615.4	204345.1	13063+2044	HU  739		9.72		12.11		528.91	y		2.974	a		108.7		172.8		1945.38	y	
130712.8	-541959.5	13072-5420	FIN  54	113840	9.63		10.45		347.86	y		0.67	a		119.6		119.6		2245.05	y	
130803.14	265648.7	13081+2657	STT 260	114109	8.98		9.5		233.79	y		0.422	a		25.8		32.3		1994.72	y	
130908.52	212722	13091+2127	HU  572	114255	8.73		10.08		102.9	y		0.4	a		145		153.7		1986.22	y	
130957.01	-53220.1	13099-0532	MCA  38Aa Ab	114330	4.49		6.83		695	y		1.243	a		74.7		126.8		1935.3	y	
130959.55	173144.8	13100+1732	STF1728AB	114378	4.85		5.53		9442.4	d	3	0.67144	a	0.00033	90.0501	0.0062	12.2272	0.0098	57056.84	m	0.36
131036.33	-312814.4	13106-3128	RST1706	114385	9.4		11.34		91	y		0.463	a	0.014	111.9	1	63.4	1.7	1999.66	y	0.39
131139.24	-263306.2	13117-2633	FIN 305	114576	7.2		7.43		18.915	y	0.1	0.104	a	0.004	153.7	5	3.9	5	2019.167	y	0.05
131202.02	320507.9	13120+3205	STT 261	114723	7.4		7.64		860.8	y		1.79	a		121.3		167.2		1830.2	y	
131217.63	-595513.9	13123-5955	SEE 170AB	114529	5.3		6		27.432	y		0.167	a		57.7		98.2		2021.872	y	
131255.71	-594858.8	13129-5949	HDS1850Aa Ab	114630	6.37		9.69		31.6	y	0.8	0.3136	a	0.007	90		278.8	0.2	2005.26	y	0.11
131323.38	-504159.2	13134-5042	I  1227	114772	6.56		6.78		100.88	y		0.317	a		133.2		26.2		1981.74	y	
131427.58	-241703.4	13145-2417	FIN 297AB	114993	7.51		7.48		60.81	y	3.27	0.233	a	0.01	66	1.7	188.3	2.7	1957.92	y	3.17
131455.85	-112207.3	13149-1122	RST3829Aa Ab	115080	7.35		9.14		122.7	y		0.762	a		64.2		120.8		1985.11	y	
131508.63	352644.8	13151+3527	BD+36 2352	115197	6.82				1267	d	294	8.8	m	5.2	99	8	131	22	49150	d	448
131532.05	405118.6	13155+4051	CHR 180	115271	5.87		9.48		219.2	y		0.745	a		44.5		22.2		2201.7	y	
131645.05	-650817.3	13168-6508	HR 5000	115149	6.07				147	d	2	7.6	m	2.8	58	12	74	14	48380	d	20
131650.67	170104.1	13169+1701	BU  800AB	115404	6.66		9.5		770	y		8.06	a		93.41		104.66		1875	y	
131653.63	-343554.2	13169-3436	I  1567	115311	8.55		9.55		40.88	y	0.18	0.326	a	0	121.6	0.1	145.5	0.2	2006.4	y	0.01
131729.89	-4033.7	13175-0041	FIN 350	115488	7.1		7.1		18.442	y		0.129	a		73.5		15.8		2009.328	y	
131729.89	-4033.7	13175-0041	FIN 350	115488	7.1		7.1		9.132	y		0.078	a		52.6		21.6		2008.382	y	
131924.29	-395701.2	13194-3957	RST1712		10.86		11.42		425	y		0.92	a		136.6		49.1		1987	y	
131945.58	474641.1	13198+4747	HU  644AB	115953	9.11		9.87		48.776	y	0.09	1.5198	a	0.005	94.43	0.2	91.15	0.17	1968.459	y	0.117
132015.78	174557.7	13203+1746	A  2166	115955	7.78		8.38		10.98	y	0.27	0.1131	a	0.0189	67.68	2.03	210.03	1.25	42055.1	d	118
