Sixth Catalog of Orbits of Visual Binary Stars: Orbits																					
RA(2000).	DEC(2000)	WDS.......	DD............	HD....	V1.11	*	V2.22	*	PPPPP.PPPPPP	*	eee.eeeeee	AAA.AAAAA	*	ee.eeeee	III.IIII	eee.eeee	NNN.NNNN	eee.eeee	TTTTT.TTTTTT	*	eee.eeeeee
10106.49	602130.4	01011+6022	A   926	5851	9.23		8.65		253.99	y	7.07	0.318	a	0.016	32.3	3.4	74.2	6	2131.63	y	3.02
10121.77	115445.9	01014+1155	BU  867	5988	8.23		9.34		232.04	y	18.15	0.813	a	0.009	98.9	1	354.2	0.4	2012.72	y	9.12
10125.08	353443.4	01014+3535	COU 854	5955	9.95		9.52		68.11	y	3.71	0.149	a	0.005	150.4	7.7	221.1	10.4	1999.59	y	4.24
10130.15	692130.7	01015+6922	A  2901	5839	7.12		7.84		1517.34	y	60.15	0.99	a	0.08	69.3	0.9	48.4	0.7	1950.56	y	61.32
10143.49	251732.1	01017+2518	HDS 134	6009	7.48		7.76		16.41	y	0.11	0.128	a	0.002	58.4	0.5	57.1	0.8	1998.62	y	0.02
10217.55	55159.9	01023+0552	A  2003	6094	10.3		9.32		82.72	y	1	0.197	a	0.002	72.4	1	133	1	2004.87	y	1.15
10224.56	50341.2	01024+0504	HDS 135AB	6101	8.49		10.07		28.23	y	0.17	0.461	a	0.002	144.8	0.7	268.6	1	2002.69	y	0.01
10245.24	21341.6	01028+0214	A  2308		9.87		11.73		141.8	y	5.52	0.367	a	0.006	62.9	2.2	306.6	1.7	1958.95	y	4.96
10249.09	314815.3	01028+3148	sig Psc	6118	5.51				81.12625	d	0.00027	5.56	m	0.04	143.4	1.3	167.8	1.7	43138.153	m	0.023
10301.54	472234.1	01030+4723	STT  21	6114	6.76		8.07		450	y		0.816	a		87		176.7		1902	y	
10314.17	200552.1	01032+2006	LDS 873		12.24		12.97		521	y	9	3.366	a	0.012	53.2	1	92.5	0.9	2079.3	y	0.5
10337.18	634116	01036+6341	MLR  87AB	6129	8.68		9.51		55.97	y		0.238	a		145.1		139.7		2020.45	y	
10358.75	352810.1	01040+3528	HO  213	6264	7.81		8.29		500	y	50	0.354	a	0.065	33.2	5	111.7	10	1995.82	y	25
10448.29	13516	01048+0135	A  2310	6387	9.49		10.36		131.46	y		0.249	a		117.7		122.7		1930.27	y	
10456.22	364923.3	01049+3649	A  1515		9.7		10		170.1	y	8	0.237	a	0.001	68.9	1	111.6	1	2036.97	y	4
10532.41	210714.5	01055+2107	AG   14	6439	10.01		10.06		498.66	y		1.062	a		159		265.5		2465.42	y	
10540.93	212823.6	01057+2128	YR    6Aa Ab	6456	5.7		6.6		14.44	y	0.26	0.1143	a	0.0017	77.43	0.81	134.8	1.2	2007.512	y	0.041
10605.11	-464306.6	01061-4643	SLR   1AB	6595	4.1		4.19		170.7	y	5	0.946	a	0.016	144	1.5	126.4	3.5	2003.41	y	0.1
10704.52	-3531.3	01071-0036	HDS 144AB	6639	9.21		11.76		72.6	y		0.365	a		138.2		281.9		2073.1	y	
10709.16	383901.7	01072+3839	A  1516AB	6586	8.6		8.29		33.72	y	0.15	0.131	a	0.001	23.9	1.7	104.1	2.6	1997.49	y	0.11
10746.41	42452	01078+0425	BU 1292	6698	9.87		10.61		285.3	y		0.309	a		139.2		52.9		2020.7	y	
10747.83	-412913	01078-4129	RST3352	6767	5.54		6.88		28.36	y	0.04	0.2396	a	0.0005	65.3	0.3	142.7	0.3	2007.94	y	0.02
