Simbad-Resolvable Name,Source (Original),Alternative Names,Star Forming Region,SFR Age (Myr),COORDS,Disk Type,Reference,Epoch,Effective Temperature K,Temp err,Sp Type,Sp Type Err,J Magnitude,K Magnitude,R Magnitude,Method,Wavelength Range,Instrument,Tracer,Accretion Diagnostic,Line Flux erg/s/cm^2,Object Luminosity L_solar,Object Luminosity Error,Object Radius from L and T,R_err from L and T,Object Radius R_solar,R_err,New Radius,Accretion Rate M_solar yr-1,Log Accretion Rate,Object Mass Range M_solar,Object Mass M_Solar,Object Mass Err,New Mass,log object mass,Accretion Luminosity (CGS),Log Accretion Luminosity (solar),Age range Myr,System Age Myr,Companion?,A_V,A_V err,A_V source,A_J,Upper Limit,Notes/Questions2,Notes/Questions3,Distance
Sz74,Sz74,,Lupus,,237.02173123 -35.26480421,II,Alcala 2017,,3.34E+03,7.70E+01,M3.5,0.5,9.23,7.43,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,1.043,0.48,3.05,0.24,3.13,0.72,,1.38E-08,-7.86E+00,,2.90E-01,3.00E-02,,-5.38E-01,,-1.50E+00,10-Mar,3,,,,,,,,,
CD-35 10525,Sz75/GQ Lup,,Lupus,,237.3 -35.6514,II,Alcala 2017,2010,4.21E+03,1.93E+02,K6,1,,,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,1.445,0.626,2.27,0.25,2.26,0.53,,1.91E-08,-7.72E+00,,5.10E-01,1.40E-01,,-2.92E-01,,-7.00E-01,10-Mar,3,,,,,,,,,151.8187891
Sz76,Sz76,,Lupus,,237.37806439 -35.83094953,III,Alcala 2017,2010,3.27E+03,7.50E+01,M4,0.5,10.96,10.02,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,0.159,0.0704,1.24,0.25,1.24,0.28,,5.01E-10,-9.30E+00,,2.50E-01,3.00E-02,,-6.02E-01,,-2.60E+00,10-Mar,3,,,,,,,,,159.537978
Sz77,Sz77,,Lupus,,237.94565801 -35.94558694,II,Alcala 2017,2010,4.06E+03,1.87E+02,K7,1,9.44,8.27,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,0.55,0.2428,1.5,0.25,1.5,0.36,,1.55E-09,-8.81E+00,,7.90E-01,1.70E-01,,-1.02E-01,,-1.70E+00,10-Mar,3,,,,,,,,,154.822728
NAME THA 15-10A,Sz81A (SW),,Lupus,,238.9583 -38.0261,II,Alcala 2017,2015,3.20E+03,7.40E+01,M4.5,0.5,,,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,0.224,0.1103,1.54,0.23,1.54,0.38,,8.51E-10,-9.07E+00,,2.30E-01,3.00E-02,,-6.38E-01,,-2.50E+00,10-Mar,3,,,,,,,,,159.744409
NAME THA 15-10B,Sz81B (NE),,Lupus,,238.9594 -38.0256,II,Alcala 2017,2015,3.06E+03,7.10E+01,M5.5,0.5,,,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,0.11,0.0638,1.18,0.24,1.18,0.34,,2.00E-10,-9.70E+00,,1.50E-01,3.00E-02,,-8.24E-01,,-3.20E+00,10-Mar,3,,,,,,,,,160
THA 15-12,Sz82/IM Lup,,Lupus,,239.0383613 -37.93503504,III,Alcala 2017,2010,4.35E+03,2.00E+02,K5,1,8.78,7.74,11.45,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,2.33,1.0397,2.69,0.23,2.69,0.65,,7.94E-09,-8.10E+00,,1.10E+00,0.00E+00,,4.14E-02,,-1.10E+00,10-Mar,3,,,,,,,,,158.445962
Sz83,Sz83,,Lupus,,239.17629581 -37.82096485,II,Alcala 2017,,4.06E+03,1.87E+02,K7,1,8.73,7.14,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,1.313,0.605,2.32,0.24,2.39,0.55,,6.46E-08,-7.19E+00,,7.50E-01,1.90E-01,,-1.25E-01,,-3.00E-01,10-Mar,3,,,,,,,,,159.5736193
Sz84,Sz84,,Lupus,,239.51050505 -37.60075925,III,Alcala 2017,,3.13E+03,7.20E+01,M5,0.5,10.93,9.85,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,0.122,0.056,1.19,0.25,1.21,0.28,,5.37E-10,-9.27E+00,,1.80E-01,3.00E-02,,-7.45E-01,,-2.70E+00,10-Mar,3,,,,,,,,,152.6437905
V* HO Lup A,Sz88A,,Lupus,,241.7542 -39.0386,II,Alcala 2017,,3.85E+03,1.77E+02,M0,0.5,,,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,0.488,0.225,1.57,0.29,1.61,0.37,,7.24E-09,-8.14E+00,,5.70E-01,1.50E-01,,-2.44E-01,,-1.20E+00,10-Mar,3,,,,,,,,,158.478605
V* HO Lup B,Sz88B,,Lupus,,241.7542 -39.0383,II,Alcala 2017,,3.20E+03,7.40E+01,M4.5,0.5,,,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,0.118,0.054,1.12,0.24,1.12,0.26,,1.82E-10,-9.74E+00,,2.00E-01,3.00E-02,,-6.99E-01,,-3.10E+00,10-Mar,3,,,,,,,,,158.982512
Sz90,Sz90,,Lupus,,241.79195563 -39.18423846,II,Alcala 2017,2015,4.06E+03,1.87E+02,K7,1,10.36,8.72,13.7,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.64,0.36,,2.09E-09,-8.68E+00,,7.90E-01,1.70E-01,,-1.02E-01,,-1.60E+00,10-Mar,3,,,,,,,,,160.4003593
Sz91,Sz91,,Lupus,,241.79828173 -39.06319191,III,Alcala 2017,,3.71E+03,1.71E+02,M1,0.5,11.06,9.85,14.11,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.36,0.31,,1.86E-09,-8.73E+00,,4.70E-01,1.20E-01,,-3.28E-01,,-1.80E+00,10-Mar,3,,,,,,,,,159.0609044
Sz95,Sz95,,Lupus,,241.96796376 -38.96835894,II,Alcala 2017,2015,3.42E+03,7.90E+01,M3,0.5,11.01,10.01,14.25,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.84,0.41,,7.08E-10,-9.15E+00,,3.30E-01,4.00E-02,,-4.81E-01,,-2.50E+00,10-Mar,3,,,,,,,,,158.172788
Sz96,Sz96,,Lupus,,242.05262774 -39.14263044,II,Alcala 2017,2015,3.71E+03,1.71E+02,M1,0.5,10.13,8.96,13.69,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,2.02,0.47,,8.91E-10,-9.05E+00,,4.60E-01,1.10E-01,,-3.37E-01,,-2.30E+00,10-Mar,3,,,,,,,,,156.5508712
Sz97,Sz97,,Lupus,,242.09084976 -39.07263599,II,Alcala 2017,,3.27E+03,7.50E+01,M4,0.5,11.24,10.22,14.67,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.34,0.28,,2.75E-10,-9.56E+00,,2.50E-01,3.00E-02,,-6.02E-01,,-2.90E+00,10-Mar,3,,,,,,,,,157.7535889
Sz98,Sz98,,Lupus,,242.09372293 -39.07956329,II,Alcala 2017,2015,4.06E+03,1.87E+02,K7,1,9.53,8.01,11.7,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,3.2,0.69,,5.50E-08,-7.26E+00,,7.40E-01,2.00E-01,,-1.31E-01,,-5.00E-01,10-Mar,3,,,,,,,,,156.2182682
Sz99,Sz99,,Lupus,,242.10017517 -39.09706504,II,Alcala 2017,,3.27E+03,7.50E+01,M4,0.5,11.93,10.75,15.39,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.89,0.2,,4.07E-10,-9.39E+00,,2.20E-01,3.00E-02,,-6.58E-01,,-2.60E+00,10-Mar,3,,,,,,,,,159.0305498
CD-35 10525B,GQ Lup b,,Lupus,,237.300375 -35.651083,U,Wu 2017,,2400,1.00E+02,,,,,,,600-1000,MagAO,Line Luminosity,Ha Line Strength,,,,,,0.341666,0.110539,0.5,5.00E-12,,,2.39E-02,1.43E-02,,,,,,3,,,,,,,,,
V* V866 Sco A,AS205N,,Oph,,242.88084 -18.64015,II,Salyk 2013,2001-2011,4450,,K5,,,,,R 25000 Spectroscopy,4.6538 μm,NIRSPEC/KeckII,Line Strength,PfB,5.01E+29,7.1,,4.5,,,,,7.94E-08,-7.1,,1.50E+00,,,,,-0.18,,1,,,,,,,,,127.9263144
V* V866 Sco B,AS205S,,Oph,,242.88083 -18.64056,II,Salyk 2013,2001-2011,3450,,M3,,,,,R 25000 Spectroscopy,4.6538 μm,NIRSPEC/KeckII,Line Strength,PfB,2.69E+29,2.19,,4.15,,,,,2.09E-07,-6.68,,3.00E-01,,,,,-0.42,,1,companion,,,,,,,,156.8332236
2MASS J16491530-1422087,AS209,,Oph,,252.31376481 -14.36906723,II,Salyk 2013,2001-2011,4395,,K5,,8.3,6.96,,R 25000 Spectroscopy,4.6538 μm,NIRSPEC/KeckII,Line Strength,PfB,3.24E+29,2.5,,2.73,,2.4,,,3.02E-08,-7.52,,1.40E+00,,,,,-0.35,,1,,,,,,,,,120.9848164
CK4,CK4,,Oph,,277.49251546 1.25600096,II,Salyk 2013,2001-2011,4730,,K3,,13.07,9.86,,R 25000 Spectroscopy,4.6538 μm,NIRSPEC/KeckII,Line Strength,PfB,3.09E+29,,,,,,,,,,,,,,,,0.37,,1,,,,,,,,,413.018338
2MASS J19014156-3658312,CrAIRS2,,Oph,,285.42317 -36.97533,II,Salyk 2013,2001-2011,4900,,K2,,13.75,7.07,,R 25000 Spectroscopy,4.6538 μm,NIRSPEC/KeckII,Line Strength,PfB,1.59E+30,,,,,,,,,,,,,,,,0.28,,1,,,,,,,,,
ISO-Oph 033,ISO-Oph 033,GY 11,p Oph,,246.592788 -24.401962,II,Comeron 2010,February 26 - March 30 2003,2700,100,M6.5,,16.45,13.94,,R 260 long slit spectroscopy,6000-10000 A,VLT/FORS1,Line Strength,Ca II,1.02E+06,0.005,,0.32,,,,0.64,9.50E-10,-9.022276395,0.02-0.04,2.86E-02,,0.047607,,,,,1,,8,,,,,,,
ISO-Oph 023,ISO-Oph 023,,p Oph,,246.578419 -24.436256,II,Gatti 2006,May 19 20 2005,2650,150,M7,2,14.84,12.14,,".06"" spectra 750 - 860 R spectra",2 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,0.04,,0.95,,,,0.43,2.04E-10,-9.69,,4.00E-02,,0.058417,,,,.1-1,1,,9,,"Gatti+2018, converted from A_j",,,,,
2MASS J16262152-2426009,ISO-Oph 030,GY 5,p Oph,,246.58974557 -24.43361126,II,Gatti 2006,May 19 20 2005,2700,150,M6,2,12.57,10.92,18.3,".06"" spectra 750 - 860 R spectra",4 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,0.07,,1.21,,,,0.37,2.88E-10,-9.54,,6.00E-02,,0.058417,,,,.1-1,1,,3,,"Gatti+2018, converted from A_j",,upper limit,,,137
ISO-Oph 033,ISO-Oph 033,GY 11,p Oph,,246.592788 -24.401962,II,Gatti 2006,May 19 20 2005,2400,150,M8.5,0.5,16.45,13.94,,".06"" spectra 750 - 860 R spectra",1 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,0.01,,0.58,,,,0.64,1.48E-11,-10.83,,1.50E-02,,0.047607,,,,.1-1,1,,8,,"Gatti+2018, converted from A_j",,upper limit,,,
ISO-Oph 102,ISO-Oph 102,,p Oph,,246.77746863 -24.69691214,II,Gatti 2006,May 19 20 2005,2700,150,M6,1.5,12.43,10.77,17.57,".06"" spectra 750 - 860 R spectra",5 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,0.08,,1.3,,,,0.4,6.76E-10,-9.17,,6.00E-02,,0.058417,,,,.1-1,1,,3,,"Gatti+2018, converted from A_j",,,,,142.1221682
ISO-Oph 160,ISO-Oph 160,,p Oph,,246.90594683 -24.29859876,II,Gatti 2006,May 19 20 2005,2700,150,M6,2,14.15,11.95,,".06"" spectra 750 - 860 R spectra",3 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,0.04,,0.92,,,,0.47,2.24E-10,-9.65,,5.00E-02,,0.058417,,,,.1-1,1,,7,,"Gatti+2018, converted from A_j",,,,,143
2MASS J16273863-2438391,ISO-Oph 164,GY 310,p Oph,,246.91095039 -24.64423075,II,Gatti 2006,May 19 20 2005,2700,150,M6,,13.27,11.08,,".06"" spectra 750 - 860 R spectra",6 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,0.09,,1.37,,,,0.69,4.07E-10,-9.39,,6.00E-02,,0.038933,,,,.1-1,1,,7,,"Gatti+2018, converted from A_j",,upper limit,,,143
ISO-Oph 193,ISO-Oph 193,,p Oph,,247.05301552 -24.1932566,II,Gatti 2006,May 19 20 2005,2650,150,M6,,13.61,11.09,,".06"" spectra 750 - 860 R spectra",7 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,,,,,,,0.42,1.32E-09,-8.88,,6.00E-02,,0.058417,,,,.1-1,1,,8,,"Gatti+2018, converted from A_j",,,,,151.7427657
ISO-Oph 023,ISO-Oph 023,,p Oph,,246.578419 -24.436256,II,Manara 2015,2010,2900,75,M7,,14.84,12.14,,R 4350-6450 spectroscopy,300 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.04,,0.79,,0.79,0.2,0.43,1.41E-10,-9.85,,7.00E-02,0.02,0.058417,,,-3.51,,1,,8.5,,"Gatti+2018, converted from A_j",,,,,
ISO-Oph 032,ISO-Oph 032,,p Oph,,246.59128482 -24.74436689,II,Manara 2015,2010,2935,50,M6.5,,12.34,10.86,17.95,R 4350-6450 spectroscopy,302 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.033,,0.7,,0.7,0.03,0.54,3.24E-11,-10.49,,7.00E-02,0.01,0.047607,,,-4.09,,1,,2,,Natta2004,,,,,151.2584705
ISO-Oph 033,ISO-Oph 033,GY 11,p Oph,,246.592788 -24.401962,II,Manara 2015,2010,2700,75,M8,,16.45,13.94,,R 4350-6450 spectroscopy,303 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.005,,0.32,,0.32,0.06,0.64,2.00E-11,-10.7,,3.00E-02,0.02,0.047607,,,-4.33,,1,,7.8,,"Gatti+2018, converted from A_j",,,,,
ISO-Oph 160,ISO-Oph 160,,p Oph,,246.90594683 -24.29859876,II,Manara 2015,2010,2800,50,M7.5,,14.15,11.95,,R 4350-6450 spectroscopy,312 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.03,,0.74,,0.73,0.03,0.47,2.75E-10,-9.56,,6.00E-02,0.01,0.058417,,,-3.25,,1,,6.73,,"Gatti+2018, converted from A_j",,,,,143
2MASS J16273863-2438391,ISO-Oph 164,GY 310,p Oph,,246.91095039 -24.64423075,II,Manara 2015,2010,2700,50,M8,,13.27,11.08,,R 4350-6450 spectroscopy,313 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.052,,1.05,,1.05,0.05,0.69,1.26E-09,-8.9,,5.00E-02,,0.038933,,,-2.82,,1,,6.73,,"Gatti+2018, converted from A_j",,,,,143
ISO-Oph 176,ISO-Oph 176,,p Oph,,246.94288263 -24.52812907,II,Manara 2015,2010,2800,50,M7.5,,13.83,11.32,,R 4350-6450 spectroscopy,315 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.057,,1.02,,1.02,0.04,0.6,1.86E-11,-10.73,,6.00E-02,0.08,0.03139,,,-4.6,,1,,7,,Natta2004,,,,,138.9525755
2MASS J16273863-2438391,GY 310,ISO-Oph 164,p Oph,,246.9125 -24.6442,III,Mohanty 2005,May 2002 - December 2003,2900,,M7.0,,13.27,11.08,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.7,,,,,,,,3.98E-11,-10.4,,6.00E-02,,0.038933,,,,,1,,6,,Natta+2002,,,disk classification from Luhman 1999 Accretion rate equation 1,,143
2MASS J16273863-2438391,GY 310,ISO-Oph 164,p Oph,,246.9125 -24.6442,III,Mohanty 2005,May 2002 - December 2003,2900,,M7.0,,13.27,11.08,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.7,,,,,,,,2.51E-11,-10.6,,6.00E-02,,0.038933,,,,,1,,6,,Natta+2002,,,disk classification from Luhman 1999 Accretion rate equation 3,,143
ISO-Oph 138,ISO-Oph 138,,p Oph,,246.859264 -24.323055,II,Muzerolle 2005,30-Dec-03,2935,,M6.5,,16.4,12.93,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,,,0.35,,0.54,1.00E-12,-12,,6.50E-02,,0.047607,,,,,1,,10.9,,"Natta+2006, converted from A_j",,upper limit,,,
ISO-Oph 023,ISO-Oph 023,,p Oph,,246.578419 -24.436256,II,Natta 2004,March to June 2003,2700,100,M6,,14.84,12.14,,HIgh resolution spectra,optical,UVES/VLT,Line Strength,PaB luminosity,,0.04,,0.91,,,,0.43,7.94E-11,-10.1,,5.73E-02,,0.058417,,,,.1-1,1,,9,,"Gatti+2018, converted from A_j",,,,,
2MASS J16262152-2426009,ISO-Oph 030,GY 5,p Oph,,246.58974557 -24.43361126,II,Natta 2004,March to June 2003,2600,100,M7.5,,12.57,10.92,18.3,HIgh resolution spectra,optical,UVES/VLT,Line Strength,PaB luminosity,,0.071,,1.31,,,,0.37,1.58E-10,-9.8,,3.82E-02,,0.058417,,,,.1-1,1,,3,,"Gatti+2018, converted from A_j",,,,,137
2MASS J16262152-2426009,ISO-Oph 030,GY 5,p Oph,,246.58974557 -24.43361126,II,Natta 2004,March to June 2003,2700,100,M6,,12.57,10.92,18.3,HIgh resolution spectra,optical,UVES/VLT,Line Width,Ha 10% width,,0.071,,1.22,,,,0.37,1.58E-11,-10.8,,5.73E-02,,0.058417,,,,.1-1,1,,3,,"Gatti+2018, converted from A_j",,,,,137
ISO-Oph 032,ISO-Oph 032,,p Oph,,246.59128482 -24.74436689,II,Natta 2004,March to June 2003,2600,100,M7.5,,12.34,10.86,17.95,HIgh resolution spectra,optical,UVES/VLT,Line Width,Ha 10% width,,0.06,,1.21,,,,0.54,3.16E-11,-10.5,,3.82E-02,,0.047607,,,,.1-1,1,,2,,Natta2004,,,,,151.2584705
ISO-Oph 102,ISO-Oph 102,,p Oph,,246.77746863 -24.69691214,II,Natta 2004,March to June 2003,2700,100,M6,,12.43,10.77,17.57,HIgh resolution spectra,optical,UVES/VLT,Line Width,Ha 10% width,,0.079,,1.29,,,,0.4,1.00E-09,-9,,5.73E-02,,0.058417,,,,.1-1,1,,3,,"Gatti+2018, converted from A_j",,upper limit,,,142.1221682
ISO-Oph 102,ISO-Oph 102,,p Oph,,246.77746863 -24.69691214,II,Natta 2004,March to June 2003,2700,100,M6,,12.43,10.77,17.57,R=33000 spectra,optical,UVES/VLT,Line Strength,PaB luminosity,,0.079,,1.29,,,,0.4,5.01E-11,-10.3,,5.73E-02,,0.058417,,,,.1-1,1,,3,,"Gatti+2018, converted from A_j",,,,,142.1221682
ISO-Oph 023,ISO-Oph 023,,p Oph,,246.578419 -24.436256,II,Natta 2006,2004 Spring,2630.26799,,M7,,14.84,12.14,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.02,,0.69,,,,0.43,1.17E-10,-9.93,,3.98E-02,,0.058417,-1.4,,-3.61,,1,,8.5,,"Gatti+2018, converted from A_j",1.8,,Added SIMBAD spectral type (Manara 2015),,
ISO-Oph 032,ISO-Oph 032,,p Oph,,246.59128482 -24.74436689,II,Natta 2006,2004 Spring,2691.5348,,M6.5,,12.34,10.86,17.95,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.037,,0.89,,,,0.54,2.88E-11,-10.54,,5.75E-02,,0.047607,-1.24,,-4.17,,1,,2,,Natta2004,0,,Added SIMBAD spectral type (Manara 2015),,151.2584705
ISO-Oph 033,ISO-Oph 033,GY 11,p Oph,,246.592788 -24.401962,II,Natta 2006,2004 Spring,2344.22882,,M8,,16.45,13.94,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.001,,0.2,,,,0.64,1.55E-12,-11.81,,6.92E-03,,0.047607,-2.16,,-5.73,,1,,7.8,,"Gatti+2018, converted from A_j",0.6,upper limit,Added SIMBAD spectral type (Manara 2015),,
2MASS J16264848-2428389,ISO-Oph 070,,p Oph,,246.925 -24.7792,III,Natta 2006,2004 Spring,2290.86765,,,,18.47,11.22,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,,,,,0.34,7.59E-10,-9.12,,5.89E-03,,,-2.23,,-3.06,,1,companion,3.5,,"Natta+2006, converted from A_j",1,upper limit,,,
2MASS J16265477-2427022,ISO-Oph 079,,p Oph,,246.728212 -24.450624,II,Natta 2006,2004 Spring,2754.2287,,,,17.92,12.87,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.058,,1.06,,,,0.47,,,,7.41E-02,,,-1.13,,,,1,,21,,"Natta+2006, converted from A_j",6,,,,
ISO-Oph 082,ISO-Oph 082,,p Oph,,246.737166 -24.476965,III,Natta 2006,2004 Spring,2570.39578,,M2.5,,18.2,12.81,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,,,,,0.38,7.59E-11,-10.12,,2.82E-02,,0.325055,-1.55,,-3.85,,1,,13.47,,"Natta+2006, converted from A_j",3.8,upper limit,Added SIMBAD spectral type (Manara 2015),,
ISO-Oph 094,ISO-Oph 094,,p Oph,,246.764962 -24.334846,II,Natta 2006,2004 Spring,2570.39578,,M1.5,,17.24,13.56,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.013,,0.57,,,,0.4,2.82E-10,-9.55,,2.95E-02,,0.397987,-1.53,,-3.27,,1,,13.12,,"Natta+2006, converted from A_j",3.7,,Added SIMBAD spectral type (Manara 2015),,
ISO-Oph 158,ISO-Oph 158,,p Oph,,246.90219296 -24.47592586,III,Natta 2006,2004 Spring,2754.2287,,M2,,11.99,11.15,14.67,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,,,,,,,0.54,1.38E-10,-9.86,,6.92E-02,,0.35929,-1.16,,-3.46,,1,,0,,"Natta+2006, converted from A_j",0,upper limit,Added SIMBAD spectral type (Manara 2015),,95.82766353
ISO-Oph 160,ISO-Oph 160,,p Oph,,246.90594683 -24.29859876,II,Natta 2006,2004 Spring,2691.5348,,M7.5,,14.15,11.95,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.027,,0.76,,,,0.47,3.63E-10,-9.44,,4.68E-02,,0.058417,-1.33,,-3.09,,1,,6.73,,"Gatti+2018, converted from A_j",1.5,,Added SIMBAD spectral type (Manara 2015),,143
ISO-Oph 165,ISO-Oph 165,,p Oph,,246.912269 -24.672409,I,Natta 2006,2004 Spring,2754.2287,,M2.5,,16.54,12.29,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.045,,0.93,,,,0.69,2.63E-09,-8.58,,6.31E-02,,0.325055,-1.2,,-2.2,,1,,14.8,,"Natta+2006, converted from A_j",4.2,,Added SIMBAD spectral type (Manara 2015),,
ISO-Oph 170,ISO-Oph 170,,p Oph,,246.923376 -24.779095,II,Natta 2006,2004 Spring,2290.86765,,,,17.2,13.55,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.001,,0.19,,,,0.69,8.51E-12,-11.07,,5.89E-03,,,-2.23,,-5.01,,1,,3.54,,"Natta+2006, converted from A_j",1,upper limit,,,
ISO-Oph 175,ISO-Oph 175,,p Oph,,246.940778 -24.748295,II,Natta 2006,2004 Spring,2630.26799,,,,17.38,12.46,,J K Spectra,,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.015,,0.59,,,,0.53,1.62E-09,-8.79,,3.31E-02,,,-1.48,,-2.49,,1,,14.18,,"Natta+2006, converted from A_j",,,,,
2MASS J16262152-2426009,GY 5,ISO-Oph 030,p Oph,,246.58974557 -24.43361126,III,Mohanty 2005,May 2002 - December 2003,3050,,M5.5,,12.57,10.92,18.3,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.52E+00,,,,,,,,2.51E-11,-10.6,,1.20E-01,,,,,,,1,,,,,,upper limit,disk classification from Luhman 1999. Accretion rate equation 1,,137
2MASS J16262152-2426009,GY 5,ISO-Oph 030,p Oph,,246.58974557 -24.43361126,III,Mohanty 2005,May 2002 - December 2003,3050,,M5.5,,12.57,10.92,18.3,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.52E+00,,,,,,,,1.58E-11,-10.8,,1.20E-01,,,,,,,1,,,,,,upper limit,disk classification from Luhman 1999. Accretion rate equation 3,,137
2MASS J16253673-2415424,ISO-Oph 001,,p Oph,,246.40307349 -24.26181351,II,Natta 2006,2004 Spring,3890.45145,,,,10.42,8.38,14.94,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,1.622,,2.81,,,,,2.19E-09,-8.66,,5.50E-01,,,-0.26,,-1.81,,1,,,,,1.8,upper limit,,,142.8693888
ISO-Oph 002,ISO-Oph 002,,p Oph,,246.4042 -24.2617     ,II,Natta 2006,2004 Spring,3388.44156,,,,12.84,9.55,,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.589,,2.23,,,,,6.03E-09,-8.22,,3.02E-01,,,-0.52,,-1.54,,1,,,,,3.1,,,,143.6967424
ISO-Oph 002,ISO-Oph 002,,p Oph,,246.4042 -24.2617     ,II,Gatti 2006,May 19 20 2005,3850,,M0,2,12.84,9.55,,".06"" spectra 750 - 860 R spectra",2 - 2.4 um,ISAAC/ESO-VLT UT1 telescope,Line Width,EW PaB  & BrG,,0.55,,1.67,,,,,1.86E-09,-8.73,,4.00E-01,,,,,,.1-1,1,,,,,,,,,143.6967424
2MASS J16253958-2426349,ISO-Oph 003,,p Oph,,246.41492859 -24.44302485,II,Natta 2006,2004 Spring,3548.13389,,,,11.89,8.95,16.78,J K Spectra,infrared,SoFi and ISAAC,Line Strength,PaB BrG luminosity,,0.794,,2.37,,,,,1.20E-08,-7.92,,3.63E-01,,,-0.44,,-1.18,,1,,,,,2.5,,,,
